Variant,Setup,Trades,Wins,Losses,Win Rate %,Average Return %,Median Return %,Average R,Median R,Profit Factor,Expectancy R,Average Holding Days,Max Consecutive Losses,Total Net PnL,Candidate Source,Survivorship Bias Warning
T2_10D,BREAKOUT,23,13,10,56.52173913043478,0.6048277861893594,0.46313295273411403,0.14269796268272422,0.09919841028188708,2.366686261390974,0.14269796268272422,10.0,3,2848.117945442837,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T2_10D,PULLBACK,332,150,182,45.18072289156627,0.3140734713832773,-0.9452747950056668,0.07128198770705958,-0.3307919143963804,1.1470143773961958,0.07128198770705958,7.240963855421687,10,19385.70730409852,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T2_20D,BREAKOUT,22,11,11,50.0,0.9919931763290496,0.14210145240256883,0.2406576302805006,0.044734942029853106,1.980947620411454,0.2406576302805006,18.772727272727273,5,4598.21399211792,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T2_20D,PULLBACK,313,120,193,38.33865814696485,0.35244929266548225,-2.6760210965352154,0.08335479940129144,-1.0311458319903795,1.1363743283009442,0.08335479940129144,10.246006389776358,14,22298.62469397337,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T2_30D,BREAKOUT,22,11,11,50.0,1.1820994193243541,-0.4044752687110095,0.25967522844721724,-0.043749811768148475,1.6639685937400994,0.25967522844721724,26.272727272727273,4,4362.216869599224,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T2_30D,PULLBACK,305,106,199,34.75409836065574,0.2858149524689371,-2.886562834983508,0.06675376762353533,-1.0336107817125517,1.0942353158579656,0.06675376762353533,11.727868852459016,16,15865.543500343298,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T2_45D,BREAKOUT,22,13,9,59.09090909090909,2.454482222969184,3.0866574447492505,0.4709185880355118,0.4439304770634194,2.18422299583055,0.4709185880355118,35.31818181818182,3,7946.218400998072,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T2_45D,PULLBACK,300,97,203,32.33333333333333,0.2435685788899524,-3.0025870393971372,0.05175042728057347,-1.0343073744910254,1.0721655163651425,0.05175042728057347,12.736666666666666,16,12269.165592924292,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T2_63D,BREAKOUT,22,13,9,59.09090909090909,3.175389966731561,4.45881882239711,0.5477813141261207,0.6082792786862151,2.2230910673811746,0.5477813141261207,43.95454545454545,3,9014.792405999875,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T2_63D,PULLBACK,298,94,204,31.543624161073826,0.23556791908462288,-3.098980582815827,0.05082077676827826,-1.0349210451597286,1.0647105426017778,0.05082077676827826,13.070469798657719,16,11495.718972765337,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
