Variant,Year,Trades,Wins,Losses,Win Rate %,Gross Return %,Net Return %,Average R,Expectancy R,Profit Factor,Max Drawdown %,Ending Equity,Survivorship Bias Warning,Candidate Source
T1_20D,2025,18,7,11,38.88888888888889,-0.9538668603005751,-1.1147972533403272,-0.17686303550932983,-0.17686303550932983,0.7580279147264388,-3.1408772659744844,110651.58810744752,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_20D,2026,7,2,5,28.57142857142857,-1.1000047395851122,-1.735073161605205,-0.30525858018130764,-0.30525858018130764,0.5795161651064096,-2.7955609779447554,108731.70209930526,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_30D,2011,0,0,0,0.0,0.0,0.0,,,,0.0,100000.0,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_30D,2012,22,9,13,40.909090909090914,0.9766027175059382,0.1272363984119007,0.021374512227750966,0.021374512227750966,1.0191559614927925,-4.401520734662368,100127.2363984119,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_30D,2013,23,9,14,39.130434782608695,1.8467291249494093,0.9590802801988874,0.09507160758543018,0.09507160758543018,1.0850403787168237,-4.7609499848499155,101087.53697781719,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_30D,2014,34,20,14,58.82352941176471,15.346302337240077,13.573325028801086,0.5439746027575205,0.5439746027575205,2.218269634943895,-2.445370626478083,114808.4769354258,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_30D,2015,21,3,18,14.285714285714285,-8.506579666550778,-8.924316642901587,-0.5960392601406753,-0.5960392601406753,0.3136956118130861,-8.944251373130928,104562.60492081576,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_30D,2016,17,7,10,41.17647058823529,1.0741964361777907,0.3887969392790458,0.04542810224626766,0.04542810224626766,1.0495283883630533,-5.942779927171548,104969.14112837834,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_30D,2017,21,11,10,52.38095238095239,5.8001072228533985,5.110568116373315,0.3343930451675916,0.3343930451675916,1.6777400296842842,-3.3954750834519265,110333.66058691616,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
T1_30D,2018,24,9,15,37.5,0.5021259541413576,-0.6029545591545782,-0.017120035487854724,-0.017120035487854724,0.9590047300931624,-5.438162230244581,109668.39875012521,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,REFERENCE
