Date,Variant,Cash,Open Position Value,Total Equity,Peak Equity,Drawdown %,Number Open Positions,Daily Return %,Candidate Source,Survivorship Bias Warning
2014-09-05,T2_30D,60082.560113341846,53533.59704589844,113616.15715924028,113616.15715924028,0.0,2,0.15238717537451318,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-09-08,T2_30D,60082.560113341846,54227.584533691406,114310.14464703324,114310.14464703324,0.0,2,0.610817603010716,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-09-09,T2_30D,87374.1450460661,27408.86151123047,114783.00655729657,114783.00655729657,0.0,1,0.4136657439489877,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-09-10,T2_30D,87374.1450460661,26861.752883911133,114235.89792997723,114783.00655729657,-0.4766460155809171,1,-0.4766460155809171,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-09-11,T2_30D,87374.1450460661,26873.232635498047,114247.37768156415,114783.00655729657,-0.4666447515164651,1,0.010049162999492545,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-09-12,T2_30D,87374.1450460661,27213.741241455078,114587.88628752118,114783.00655729657,-0.16999055489802517,1,0.2980450080054542,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-09-15,T2_30D,87374.1450460661,26911.49574279785,114285.64078886395,114783.00655729657,-0.43330958418862364,1,-0.2637674089727371,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-09-16,T2_30D,86992.3222225061,26926.339263916016,113918.66148642212,114783.00655729657,-0.7530252925052938,1,-0.32110709613974997,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-09-17,T2_30D,32790.7560157964,81830.21012115479,114620.96613695119,114783.00655729657,-0.14117108900131292,3,0.6164965786687793,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-09-18,T2_30D,32790.7560157964,83184.8655090332,115975.6215248296,115975.6215248296,0.0,3,1.1818565429468242,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-09-19,T2_30D,32790.7560157964,84302.24507141113,117093.00108720754,117093.00108720754,0.0,3,0.9634607236303605,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-09-22,T2_30D,32790.7560157964,84461.55583953857,117252.31185533498,117252.31185533498,0.0,3,0.13605490221297867,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-09-23,T2_30D,63360.26166772093,53910.00395965576,117270.26562737669,117270.26562737669,0.0,2,0.015312083623442163,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-09-24,T2_30D,63360.26166772093,54257.611000061035,117617.87266778196,117617.87266778196,0.0,2,0.29641532620876543,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-09-25,T2_30D,88365.72723554338,28038.139419555664,116403.86665509905,117617.87266778196,-1.0321611717225565,1,-1.0321611717225565,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-09-26,T2_30D,88365.72723554338,28329.326782226562,116695.05401776994,117617.87266778196,-0.7845904955436245,1,0.2501526547513011,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-09-29,T2_30D,88365.72723554338,28533.88580322266,116899.61303876604,117617.87266778196,-0.6106721816374727,1,0.17529365123301055,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
2014-09-30,T2_30D,88365.72723554338,28723.99326324463,117089.72049878801,117617.87266778196,-0.4490407427158227,1,0.16262454175868246,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
