Variant,Ticker,Trades,Wins,Losses,Win Rate %,Average Return %,Median Return %,Average R,Median R,Profit Factor,Expectancy R,Average Holding Days,Max Consecutive Losses,Total Net PnL,Candidate Source,Survivorship Bias Warning
T1_20D,HINDUNILVR.NS,16,6,10,37.5,0.8111677666287833,-1.4628873475502024,0.16952907260563482,-0.5529690291772794,1.1992880215967174,0.16952907260563482,10.3125,3,1302.1155107181066,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_20D,ICICIBANK.NS,28,6,22,21.428571428571427,-1.6436989291638413,-3.4405339991274895,-0.5741740996917618,-1.03897387786398,0.3320271424865645,-0.5741740996917618,8.392857142857142,14,-11969.943079750163,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_20D,INFY.NS,25,17,8,68.0,2.4511613916039017,3.5094154401689197,0.5865484775992674,0.7943133784083818,3.0333983416821417,0.5865484775992674,12.36,3,12133.298933163267,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_20D,ITC.NS,17,7,10,41.17647058823529,0.3369581315931898,-2.7857748845742467,0.06180629412453058,-1.028099495261405,1.1055278765673504,0.06180629412453058,9.117647058823529,2,855.0503405223883,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_20D,LT.NS,21,6,15,28.57142857142857,-1.0155437383920902,-3.093676243309888,-0.25769233254803603,-1.0374647192224231,0.6478155318399427,-0.25769233254803603,8.238095238095237,9,-4032.181779205773,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_20D,M&M.NS,18,11,7,61.111111111111114,2.3256752117445436,3.6341892393578537,0.6287127437099128,0.8412360321682028,2.5423281288154764,0.6287127437099128,10.833333333333334,3,9054.463638102949,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_20D,MARUTI.NS,19,9,10,47.368421052631575,0.21845601716321722,-1.5503268705692446,0.12568229511850362,-0.5759200133056745,1.1591594964825571,0.12568229511850362,10.631578947368421,5,1053.0387467028154,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_20D,SBIN.NS,22,5,17,22.727272727272727,-1.2559266868780006,-3.328096422750335,-0.36687148594853164,-1.037095527371895,0.5617421456227778,-0.36687148594853164,7.090909090909091,5,-6033.4679350363385,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_20D,SUNPHARMA.NS,14,3,11,21.428571428571427,-2.2246760777501935,-2.608415771582166,-0.5772015087522572,-1.032347615805958,0.19248966949304316,-0.5772015087522572,11.642857142857142,4,-6275.348796772719,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_20D,TCS.NS,17,4,13,23.52941176470588,-1.082042203105532,-2.8803351180245107,-0.37566838231105243,-1.0436015149304738,0.49481188188533354,-0.37566838231105243,7.176470588235294,6,-5214.235924954192,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_20D,TITAN.NS,21,12,9,57.14285714285714,1.4315233832372387,3.5145366104930407,0.2927350909702185,0.6695895170043723,1.674690232742593,0.2927350909702185,11.047619047619047,3,4813.823992890786,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_20D,TMPV.NS,8,2,6,25.0,-1.2469398818162485,-4.531247620301265,-0.3365391856700892,-1.0314754955813097,0.5194503406723058,-0.3365391856700892,5.5,5,-2471.62963230688,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_20D,WIPRO.NS,15,8,7,53.333333333333336,0.8814227604149056,0.6462330951531564,0.336548709281796,0.16051141432339033,1.7612549585002861,0.336548709281796,12.266666666666667,3,3702.6277861850263,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_30D,AXISBANK.NS,23,9,14,39.130434782608695,0.3782255961183358,-3.1407930263587436,0.041109695063953434,-1.033864773540937,1.0697838510641813,0.041109695063953434,8.434782608695652,3,826.6131482889145,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_30D,BEL.NS,9,4,5,44.44444444444444,0.6213533652556149,-3.918789078083295,0.2082704232761442,-1.021944575123879,1.3071630779694987,0.2082704232761442,6.666666666666667,4,1347.229261043291,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_30D,CIPLA.NS,16,6,10,37.5,0.4158682866663157,-3.3648560595559696,0.07966955109441082,-1.0319623220130603,1.065245065122767,0.07966955109441082,9.875,4,539.3826791818392,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_30D,HAL.NS,9,4,5,44.44444444444444,-0.25214712589464894,-3.8523161937033534,0.12307348182863224,-1.0220814797663538,1.1101313864325313,0.12307348182863224,7.666666666666667,3,472.9191152749661,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_30D,HCLTECH.NS,21,9,12,42.857142857142854,0.26217910473527806,-2.394073611401928,0.06759776385097227,-1.0272824899789927,1.2773202288234335,0.06759776385097227,7.809523809523809,4,2509.6848403089334,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_30D,HDFCBANK.NS,20,9,11,45.0,0.5543455380452695,-0.9660421986604908,0.20996253011374982,-0.295254896353962,1.5136185903118646,0.20996253011374982,15.8,7,3565.250453347623,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_30D,HINDUNILVR.NS,16,8,8,50.0,1.3018786552412116,-0.35941601146736923,0.25491347168549433,-0.26392095677437033,1.332145124251677,0.25491347168549433,11.625,3,2194.428658328982,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_30D,ICICIBANK.NS,27,6,21,22.22222222222222,-1.522874085984544,-3.47909661361507,-0.4847584784130954,-1.038066981225529,0.418781347718547,-0.4847584784130954,9.407407407407407,14,-9886.577747999663,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_30D,INFY.NS,25,16,9,64.0,2.7662688158104527,4.6269834503732215,0.6233018699810632,1.467463809182904,2.4468945532171804,0.6233018699810632,14.56,3,12821.313204275575,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_30D,ITC.NS,17,7,10,41.17647058823529,-0.14413272636727592,-2.7857748845742476,-0.01800846929087579,-1.0280994952614047,0.9591340673961353,-0.01800846929087579,10.764705882352942,2,-347.337152743762,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_30D,LT.NS,22,7,15,31.818181818181817,-0.7242755189194985,-3.240007392406011,-0.1475738317887388,-1.0366687887915815,0.819588759896674,-0.1475738317887388,9.272727272727273,6,-2106.820561871563,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_30D,M&M.NS,18,10,8,55.55555555555556,2.1107528207160735,4.009429984894202,0.6038506516962074,1.1861196095285116,2.2689095275588063,0.6038506516962074,12.166666666666666,3,8476.706615392211,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
T1_30D,MARUTI.NS,19,9,10,47.368421052631575,0.7156399540094898,-0.3657066132202819,0.28237507688198393,-0.073139897426361,1.3192240046959651,0.28237507688198393,12.368421052631579,5,2139.399700060617,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
