Ticker,Signal Date,Signal_New,Setup_New,Market Regime_New,Technical Score_New,Actionability Score_New,Entry Low_New,Entry High_New,Stop Loss_New,Target 1_New,Target 2_New,R:R T1_New,Signal_Ref,Setup_Ref,Market Regime_Ref,Technical Score_Ref,Actionability Score_Ref,Entry Low_Ref,Entry High_Ref,Stop Loss_Ref,Target 1_Ref,Target 2_Ref,R:R T1_Ref,_merge,Candidate Source,Survivorship Bias Warning
TCS.NS,2014-04-23,AVOID,PULLBACK,STRONG BULL,51.0,20.0,794.0437,810.3985,761.2019,838.3478,851.3078,0.5681,AVOID,PULLBACK,STRONG BULL,51.0,20.0,794.0437,810.3985,761.2018,838.3477,851.3082,0.5681,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-04-25,AVOID,PULLBACK,STRONG BULL,58.0,20.0,796.2181,811.2045,761.9511,838.3478,851.3078,0.5511,AVOID,PULLBACK,STRONG BULL,58.0,20.0,796.2182,811.2046,761.951,838.3477,851.3082,0.5511,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-04-28,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,62.0,20.0,798.1143,811.446,761.9511,838.3478,851.3078,0.5435,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,62.0,20.0,798.1144,811.4457,761.951,838.3477,851.3082,0.5435,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-04-29,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,61.0,20.0,800.1834,812.5197,761.9511,838.3478,851.3078,0.5108,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,61.0,20.0,800.1835,812.5198,761.951,838.3477,851.3082,0.5107,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-04-30,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,62.0,20.0,802.0494,810.6498,761.9511,838.3478,851.3078,0.5688,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,62.0,20.0,802.0495,810.6496,761.951,838.3477,851.3082,0.5688,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-05-02,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,69.0,20.0,803.5302,817.2323,762.6877,838.3478,851.3078,0.3871,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,69.0,20.0,803.5302,817.2323,762.6875,838.3477,851.3082,0.3871,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-05-05,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,61.0,20.0,804.4417,817.6909,770.6464,838.3478,851.3078,0.4391,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,61.0,20.0,804.4417,817.6909,770.6461,838.3477,851.3082,0.4391,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-05-06,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,61.0,20.0,805.074,814.2415,770.6464,838.3478,851.3078,0.553,WAIT FOR BETTER ENTRY,PULLBACK,STRONG BULL,61.0,20.0,805.074,814.2416,770.6461,838.3477,851.3082,0.553,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-05-13,AVOID,PULLBACK,STRONG BULL,56.0,20.0,807.1752,818.7036,770.6464,838.3478,851.3078,0.4088,AVOID,PULLBACK,STRONG BULL,56.0,20.0,807.1752,818.7037,770.6461,838.3477,851.3082,0.4088,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
TCS.NS,2014-05-14,AVOID,PULLBACK,STRONG BULL,55.0,20.0,808.2386,820.6107,770.6464,838.3478,851.3078,0.355,AVOID,PULLBACK,STRONG BULL,55.0,20.0,808.2386,820.6108,770.6461,838.3477,851.3082,0.355,both,REFERENCE,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
