Method,Dataset,Target,Model Task Type,Evaluation Year,Evaluation Start,Evaluation End,Training Rows,Training Label Available Rows,Evaluation Candidate Rows,Evaluation Label Available Rows,Evaluation Not Applicable Rows,Evaluation Data-End Censored Rows,Training As-Of Date Min,Training As-Of Date Max,Training Label Availability Max,Training Availability Violations,Ambiguous Rows Count
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T1_SESSIONS,CONDITIONAL_REGRESSION,2026,2026-01-01,2026-08-28,5530,5530,142,101,169,41,2011-09-09,2025-12-17,2025-12-22,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T2_SESSIONS,CONDITIONAL_REGRESSION,2016,2016-01-04,2016-12-30,1076,1076,99,99,430,0,2011-09-15,2015-11-24,2015-12-31,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T2_SESSIONS,CONDITIONAL_REGRESSION,2017,2017-01-02,2017-12-29,1159,1159,447,447,772,0,2011-09-15,2016-09-29,2016-11-01,0,3
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T2_SESSIONS,CONDITIONAL_REGRESSION,2018,2018-01-02,2018-12-31,1554,1554,163,163,627,0,2011-09-15,2017-12-19,2017-12-28,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T2_SESSIONS,CONDITIONAL_REGRESSION,2019,2019-01-02,2019-12-31,1766,1766,110,110,625,0,2011-09-15,2018-09-19,2018-10-01,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T2_SESSIONS,CONDITIONAL_REGRESSION,2020,2020-01-01,2020-12-31,1894,1894,278,278,483,0,2011-09-15,2019-11-05,2019-11-28,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T2_SESSIONS,CONDITIONAL_REGRESSION,2021,2021-01-01,2021-12-31,2106,2106,384,384,1025,0,2011-09-15,2020-12-17,2020-12-29,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T2_SESSIONS,CONDITIONAL_REGRESSION,2022,2022-01-05,2022-12-30,2551,2551,131,131,765,0,2011-09-15,2021-12-14,2021-12-28,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T2_SESSIONS,CONDITIONAL_REGRESSION,2023,2023-01-02,2023-12-29,2683,2683,254,254,771,0,2011-09-15,2022-11-14,2022-12-13,0,2
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T2_SESSIONS,CONDITIONAL_REGRESSION,2024,2024-01-01,2024-12-31,2911,2911,261,261,889,0,2011-09-15,2023-12-22,2023-12-29,0,3
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T2_SESSIONS,CONDITIONAL_REGRESSION,2025,2025-01-01,2025-12-31,3179,3179,127,127,561,0,2011-09-15,2024-12-03,2024-12-20,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,TIME_TO_T2_SESSIONS,CONDITIONAL_REGRESSION,2026,2026-01-01,2026-08-28,3310,3310,98,52,213,46,2011-09-15,2025-12-10,2025-12-31,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,D1_SHADOW_NET_R,REGRESSION,2016,2016-01-04,2016-12-30,258,258,38,38,491,0,2012-02-27,2015-10-19,2015-11-10,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,D1_SHADOW_NET_R,REGRESSION,2017,2017-01-02,2017-12-29,296,296,59,59,1160,0,2012-02-27,2016-12-08,2016-12-22,0,3
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,D1_SHADOW_NET_R,REGRESSION,2018,2018-01-02,2018-12-31,350,350,52,52,738,0,2012-02-27,2017-12-13,2017-12-18,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,D1_SHADOW_NET_R,REGRESSION,2019,2019-01-02,2019-12-31,407,407,58,58,677,0,2012-02-27,2018-12-07,2018-12-11,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,D1_SHADOW_NET_R,REGRESSION,2020,2020-01-01,2020-12-31,464,464,40,40,721,0,2012-02-27,2019-11-28,2019-12-05,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,D1_SHADOW_NET_R,REGRESSION,2021,2021-01-01,2021-12-31,505,505,75,75,1334,0,2012-02-27,2020-12-18,2020-12-22,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,D1_SHADOW_NET_R,REGRESSION,2022,2022-01-05,2022-12-30,580,580,86,86,810,0,2012-02-27,2021-11-25,2021-11-26,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,D1_SHADOW_NET_R,REGRESSION,2023,2023-01-02,2023-12-29,662,662,65,65,960,0,2012-02-27,2022-12-22,2022-12-26,0,2
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,D1_SHADOW_NET_R,REGRESSION,2024,2024-01-01,2024-12-31,728,728,41,41,1109,0,2012-02-27,2023-11-23,2023-12-21,0,3
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,D1_SHADOW_NET_R,REGRESSION,2025,2025-01-01,2025-12-31,772,772,43,43,645,0,2012-02-27,2024-12-19,2024-12-31,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,D1_SHADOW_NET_R,REGRESSION,2026,2026-01-01,2026-08-28,812,812,13,13,298,0,2012-02-27,2025-12-17,2025-12-30,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_EXIT_NEXT_SESSION,BINARY_CLASSIFICATION,2016,2016-04-13,2016-12-21,1259,1259,182,182,0,0,2012-02-28,2015-11-09,2015-11-10,0,171
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_EXIT_NEXT_SESSION,BINARY_CLASSIFICATION,2017,2017-02-21,2017-12-29,1441,1441,296,296,0,0,2012-02-28,2016-12-21,2016-12-22,0,189
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_EXIT_NEXT_SESSION,BINARY_CLASSIFICATION,2018,2018-01-01,2018-12-10,1693,1693,261,261,0,0,2012-02-28,2017-12-15,2017-12-18,0,170
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_EXIT_NEXT_SESSION,BINARY_CLASSIFICATION,2019,2019-01-16,2019-12-31,1998,1998,378,378,0,0,2012-02-28,2018-12-10,2018-12-11,0,302
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_EXIT_NEXT_SESSION,BINARY_CLASSIFICATION,2020,2020-01-01,2020-12-21,2368,2368,296,296,0,0,2012-02-28,2019-12-04,2019-12-05,0,243
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_EXIT_NEXT_SESSION,BINARY_CLASSIFICATION,2021,2021-01-25,2021-11-25,2672,2672,493,493,0,0,2012-02-28,2020-12-21,2020-12-22,0,394
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_EXIT_NEXT_SESSION,BINARY_CLASSIFICATION,2022,2022-01-10,2022-12-30,3165,3165,298,298,0,0,2012-02-28,2021-11-25,2021-11-26,0,221
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_EXIT_NEXT_SESSION,BINARY_CLASSIFICATION,2023,2023-01-02,2023-12-29,3447,3447,351,351,0,0,2012-02-28,2022-12-23,2022-12-26,0,242
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_EXIT_NEXT_SESSION,BINARY_CLASSIFICATION,2024,2024-01-01,2024-12-30,3793,3793,245,245,0,0,2012-02-28,2023-12-20,2023-12-21,0,184
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_EXIT_NEXT_SESSION,BINARY_CLASSIFICATION,2025,2025-01-03,2025-12-31,4059,4059,226,226,0,0,2012-02-28,2024-12-30,2024-12-31,0,141
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_EXIT_NEXT_SESSION,BINARY_CLASSIFICATION,2026,2026-01-01,2026-08-13,4282,4282,65,65,0,0,2012-02-28,2025-12-29,2025-12-30,0,18
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_REMAINING_NET_R,REGRESSION,2016,2016-04-13,2016-12-21,1259,1259,182,182,0,0,2012-02-28,2015-11-09,2015-11-10,0,171
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_REMAINING_NET_R,REGRESSION,2017,2017-02-21,2017-12-29,1441,1441,296,296,0,0,2012-02-28,2016-12-21,2016-12-22,0,189
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_REMAINING_NET_R,REGRESSION,2018,2018-01-01,2018-12-10,1693,1693,261,261,0,0,2012-02-28,2017-12-15,2017-12-18,0,170
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_REMAINING_NET_R,REGRESSION,2019,2019-01-16,2019-12-31,1998,1998,378,378,0,0,2012-02-28,2018-12-10,2018-12-11,0,302
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_REMAINING_NET_R,REGRESSION,2020,2020-01-01,2020-12-21,2368,2368,296,296,0,0,2012-02-28,2019-12-04,2019-12-05,0,243
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_REMAINING_NET_R,REGRESSION,2021,2021-01-25,2021-11-25,2672,2672,493,493,0,0,2012-02-28,2020-12-21,2020-12-22,0,394
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_REMAINING_NET_R,REGRESSION,2022,2022-01-10,2022-12-30,3165,3165,298,298,0,0,2012-02-28,2021-11-25,2021-11-26,0,221
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_REMAINING_NET_R,REGRESSION,2023,2023-01-02,2023-12-29,3447,3447,351,351,0,0,2012-02-28,2022-12-23,2022-12-26,0,242
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_REMAINING_NET_R,REGRESSION,2024,2024-01-01,2024-12-30,3793,3793,245,245,0,0,2012-02-28,2023-12-20,2023-12-21,0,184
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_REMAINING_NET_R,REGRESSION,2025,2025-01-03,2025-12-31,4059,4059,226,226,0,0,2012-02-28,2024-12-30,2024-12-31,0,141
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,D1_REMAINING_NET_R,REGRESSION,2026,2026-01-01,2026-08-13,4282,4282,65,65,0,0,2012-02-28,2025-12-29,2025-12-30,0,18
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_10_ENTRY_INCLUSIVE_PCT,REGRESSION,2016,2016-01-04,2016-12-30,3156,3156,384,384,145,0,2011-09-09,2015-12-17,2016-01-01,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_10_ENTRY_INCLUSIVE_PCT,REGRESSION,2017,2017-01-02,2017-12-29,3536,3536,978,978,241,0,2011-09-09,2016-12-16,2016-12-30,0,3
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_10_ENTRY_INCLUSIVE_PCT,REGRESSION,2018,2018-01-02,2018-12-31,4486,4486,597,597,193,0,2011-09-09,2017-12-15,2018-01-01,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_10_ENTRY_INCLUSIVE_PCT,REGRESSION,2019,2019-01-02,2019-12-31,5099,5099,540,540,195,0,2011-09-09,2018-12-17,2019-01-01,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_10_ENTRY_INCLUSIVE_PCT,REGRESSION,2020,2020-01-01,2020-12-31,5659,5659,545,545,216,0,2011-09-09,2019-12-13,2019-12-30,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_10_ENTRY_INCLUSIVE_PCT,REGRESSION,2021,2021-01-01,2021-12-31,6167,6167,1057,1057,352,0,2011-09-09,2020-12-16,2020-12-31,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_10_ENTRY_INCLUSIVE_PCT,REGRESSION,2022,2022-01-05,2022-12-30,7266,7266,670,670,226,0,2011-09-09,2021-12-14,2021-12-28,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_10_ENTRY_INCLUSIVE_PCT,REGRESSION,2023,2023-01-02,2023-12-29,7911,7911,740,740,285,0,2011-09-09,2022-12-16,2022-12-30,0,2
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_10_ENTRY_INCLUSIVE_PCT,REGRESSION,2024,2024-01-01,2024-12-31,8629,8629,851,851,299,0,2011-09-09,2023-12-14,2023-12-29,0,3
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_10_ENTRY_INCLUSIVE_PCT,REGRESSION,2025,2025-01-01,2025-12-31,9466,9466,533,533,155,0,2011-09-09,2024-12-16,2024-12-31,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_10_ENTRY_INCLUSIVE_PCT,REGRESSION,2026,2026-01-01,2026-08-28,10036,10036,239,225,72,14,2011-09-09,2025-12-16,2025-12-31,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_20_ENTRY_INCLUSIVE_PCT,REGRESSION,2016,2016-01-04,2016-12-30,3147,3147,384,384,145,0,2011-09-09,2015-12-03,2016-01-01,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_20_ENTRY_INCLUSIVE_PCT,REGRESSION,2017,2017-01-02,2017-12-29,3518,3518,978,978,241,0,2011-09-09,2016-12-02,2016-12-30,0,3
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_20_ENTRY_INCLUSIVE_PCT,REGRESSION,2018,2018-01-02,2018-12-31,4423,4423,597,597,193,0,2011-09-09,2017-12-01,2018-01-01,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_20_ENTRY_INCLUSIVE_PCT,REGRESSION,2019,2019-01-02,2019-12-31,5080,5080,540,540,195,0,2011-09-09,2018-12-03,2019-01-01,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_20_ENTRY_INCLUSIVE_PCT,REGRESSION,2020,2020-01-01,2020-12-31,5638,5638,545,545,216,0,2011-09-09,2019-12-02,2019-12-31,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_20_ENTRY_INCLUSIVE_PCT,REGRESSION,2021,2021-01-01,2021-12-31,6140,6140,1057,1057,352,0,2011-09-09,2020-12-02,2020-12-31,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_20_ENTRY_INCLUSIVE_PCT,REGRESSION,2022,2022-01-05,2022-12-30,7261,7261,670,670,226,0,2011-09-09,2021-12-03,2021-12-31,0,0
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_20_ENTRY_INCLUSIVE_PCT,REGRESSION,2023,2023-01-02,2023-12-29,7874,7874,740,740,285,0,2011-09-09,2022-12-02,2022-12-30,0,2
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_20_ENTRY_INCLUSIVE_PCT,REGRESSION,2024,2024-01-01,2024-12-31,8619,8619,851,851,299,0,2011-09-09,2023-11-30,2023-12-29,0,3
HISTORICAL WALK-FORWARD / PSEUDO-OOS,trade_opportunity,FWD_CLOSE_RETURN_20_ENTRY_INCLUSIVE_PCT,REGRESSION,2025,2025-01-01,2025-12-31,9446,9446,533,533,155,0,2011-09-09,2024-12-02,2024-12-31,0,0
