Method,Dataset,Target,Model Task Type,Evaluation Year,Evaluation Start,Evaluation End,Training Rows,Training Label Available Rows,Evaluation Candidate Rows,Evaluation Label Available Rows,Evaluation Not Applicable Rows,Evaluation Data-End Censored Rows,Training As-Of Date Min,Training As-Of Date Max,Training Label Availability Max,Training Availability Violations,Ambiguous Rows Count
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MFE,REGRESSION,2019,2019-01-16,2019-12-31,1998,1998,378,378,0,0,2012-02-28,2018-12-10,2019-01-08,0,302
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MFE,REGRESSION,2020,2020-01-01,2020-12-21,2364,2364,296,296,0,0,2012-02-28,2019-12-02,2019-12-31,0,243
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MFE,REGRESSION,2021,2021-01-25,2021-11-25,2672,2672,493,493,0,0,2012-02-28,2020-12-21,2021-01-19,0,394
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MFE,REGRESSION,2022,2022-01-10,2022-12-30,3165,3165,298,298,0,0,2012-02-28,2021-11-25,2021-12-23,0,221
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MFE,REGRESSION,2023,2023-01-02,2023-12-29,3434,3434,351,351,0,0,2012-02-28,2022-12-02,2022-12-30,0,242
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MFE,REGRESSION,2024,2024-01-01,2024-12-30,3766,3766,245,245,0,0,2012-02-28,2023-11-30,2023-12-29,0,184
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MFE,REGRESSION,2025,2025-01-03,2025-12-31,4037,4037,226,226,0,0,2012-02-28,2024-11-26,2024-12-24,0,141
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MFE,REGRESSION,2026,2026-01-01,2026-08-13,4238,4238,65,63,0,2,2012-02-28,2025-11-04,2025-12-03,0,18
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MAE,REGRESSION,2016,2016-04-13,2016-12-21,1259,1259,182,182,0,0,2012-02-28,2015-11-09,2015-12-10,0,171
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MAE,REGRESSION,2017,2017-02-21,2017-12-29,1441,1441,296,296,0,0,2012-02-28,2016-12-21,2017-01-18,0,189
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MAE,REGRESSION,2018,2018-01-01,2018-12-10,1641,1641,261,261,0,0,2012-02-28,2017-11-30,2017-12-29,0,170
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MAE,REGRESSION,2019,2019-01-16,2019-12-31,1998,1998,378,378,0,0,2012-02-28,2018-12-10,2019-01-08,0,302
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MAE,REGRESSION,2020,2020-01-01,2020-12-21,2364,2364,296,296,0,0,2012-02-28,2019-12-02,2019-12-31,0,243
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MAE,REGRESSION,2021,2021-01-25,2021-11-25,2672,2672,493,493,0,0,2012-02-28,2020-12-21,2021-01-19,0,394
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MAE,REGRESSION,2022,2022-01-10,2022-12-30,3165,3165,298,298,0,0,2012-02-28,2021-11-25,2021-12-23,0,221
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MAE,REGRESSION,2023,2023-01-02,2023-12-29,3434,3434,351,351,0,0,2012-02-28,2022-12-02,2022-12-30,0,242
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MAE,REGRESSION,2024,2024-01-01,2024-12-30,3766,3766,245,245,0,0,2012-02-28,2023-11-30,2023-12-29,0,184
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MAE,REGRESSION,2025,2025-01-03,2025-12-31,4037,4037,226,226,0,0,2012-02-28,2024-11-26,2024-12-24,0,141
HISTORICAL WALK-FORWARD / PSEUDO-OOS,d1_position_day,NEXT_20_SESSION_MAE,REGRESSION,2026,2026-01-01,2026-08-13,4238,4238,65,63,0,2,2012-02-28,2025-11-04,2025-12-03,0,18
