Dataset,Era,Feature,Rows,Available Rows,Mean,Std,Min,Median,Max
signal_state,2016-2020,Stock ATR %,22583,22583,2.76455264408,1.2086489979,1.10663400621,2.48238378457,16.276365484
signal_state,2016-2020,Stock Average Volume 20,22583,22583,10456710.0882,13058759.8043,11833.6,6045645.55,101249127.75
signal_state,2016-2020,Stock Breakout High 20,22583,22583,893.356871822,1460.55645542,21.6235928796,494.776843107,9190.09141633
signal_state,2016-2020,Stock Close,22583,22583,846.941260464,1388.43990825,17.6030521393,465.631896973,9039.36425781
signal_state,2016-2020,Stock Daily ST,22583,22583,837.249635477,1375.88374697,18.4969260542,465.139232262,9058.7224021
signal_state,2016-2020,Stock Daily ST Direction,22583,22583,0.170349377851,0.985405544675,-1,1,1
signal_state,2016-2020,Stock High,22583,22583,857.478622579,1404.30852282,18.4312595478,472.139566943,9190.09141633
signal_state,2016-2020,Stock Low,22583,22583,836.950748461,1373.76149057,16.8651988598,459.615957751,8940.58100077
signal_state,2016-2020,Stock Open,22583,22583,847.78487645,1390.20627369,17.4072963675,465.682813144,9162.14311914
signal_state,2016-2020,Stock Range / ATR,22583,22583,0.958386757397,0.415010711509,0.175024829135,0.871478687205,5.39383571513
signal_state,2016-2020,Stock Realized Volatility 10D %,22583,22583,27.8414143938,16.4544005986,3.17188459553,23.6627729412,197.967983747
signal_state,2016-2020,Stock Realized Volatility 20D %,22583,22583,28.6054777551,14.9948589666,7.12634376423,24.7892492084,155.118015324
signal_state,2016-2020,Stock Recent High 20,22583,22583,893.356871822,1460.55645542,21.6235928796,494.776843107,9190.09141633
signal_state,2016-2020,Stock Relative Volume 20D,22583,22583,1.02468608338,0.664447426728,0.0202120744679,0.871046121267,15.2691404726
signal_state,2016-2020,Stock Relative Volume 5D,22583,22583,1.0096575484,0.421110384109,0.0479480477769,0.932720331276,4.803993648
signal_state,2016-2020,Stock Return 10D %,22583,22583,0.594717310747,6.47115292395,-53.0677536787,0.474262397768,57.4843706594
signal_state,2016-2020,Stock Return 1D %,22583,22583,0.0598813869379,2.04018835245,-27.9107909893,0.0157033947038,27.6871676276
signal_state,2016-2020,Stock Return 20D %,22583,22583,1.21705165873,9.23987655652,-58.5315058347,1.19362416687,61.2663968797
signal_state,2016-2020,Stock Return 5D %,22583,22583,0.300455242028,4.5367108867,-39.3138040163,0.192834662284,43.2869911432
signal_state,2016-2020,Stock Return 60D %,22583,22583,3.12722932675,15.9679120454,-64.8258125359,3.18546235273,142.945974536
signal_state,2016-2020,Stock SMA20,22583,22583,843.002898944,1382.65823615,19.4642483711,463.256602478,8764.92998047
signal_state,2016-2020,Stock SMA200,22583,22583,817.706302937,1339.70480421,26.0100774956,463.94602211,8321.91296631
signal_state,2016-2020,Stock SMA50,22583,22583,837.508665121,1374.38967161,20.4830871201,462.437122803,8563.83338867
signal_state,2016-2020,Stock Same-Day Gap %,22583,22583,0.159305468284,1.01144175412,-11.6375350117,0.165184090719,9.998143505
signal_state,2016-2020,Stock Swing Low 10,22583,22583,809.153416143,1330.77942786,16.8651988598,442.943037289,8643.63268571
signal_state,2016-2020,Stock Volume,22583,22583,10571866.1564,16411167.5948,4112,5241260,435838635
signal_state,2016-2020,Stock Weekly ST,22583,22583,835.827463133,1377.02398296,18.799276504,465.29536448,9029.49321489
signal_state,2016-2020,Stock Weekly ST Direction,22583,22583,0.0471593676659,0.998909494706,-1,1,1
signal_state,2016-2020,Stop Distance ATR,22583,4282,2.20982750342,0.776762881915,1.4999203247,2.07511002447,6.96204584568
signal_state,2016-2020,Stop Loss,22583,4282,881.591464292,1334.06904528,26.689,517.56,8504.2771
signal_state,2016-2020,Support,22583,3953,897.648842651,1341.91366216,28.7973,541.5866,8680.4565
signal_state,2016-2020,T1 Distance ATR,22583,4282,2.30632003321,1.28137540067,0.00576933626641,2.03404419645,10.443066949
signal_state,2016-2020,T2 Distance ATR,22583,4282,5.12341523595,2.09459401334,1.06904398437,4.71476416511,17.4051127947
