Experiment ID,Ticker,Signal Date,Classification,Material To Portfolio Membership,Generated Signal,Reference Signal,Generated Setup,Reference Setup,Generated Market Regime,Reference Market Regime,Generated Technical Score,Reference Technical Score,Abs Diff Technical Score,Generated Actionability Score,Reference Actionability Score,Abs Diff Actionability Score,Generated Entry Low,Reference Entry Low,Abs Diff Entry Low,Generated Entry High,Reference Entry High,Abs Diff Entry High,Generated Stop Loss,Reference Stop Loss,Abs Diff Stop Loss,Generated Target 1,Reference Target 1,Abs Diff Target 1,Generated Target 2,Reference Target 2,Abs Diff Target 2,Generated R:R T1,Reference R:R T1,Abs Diff R:R T1,Generated R:R T2,Reference R:R T2,Abs Diff R:R T2,Config SHA-256,Data Manifest SHA-256,Survivorship Bias Warning
S221_20110830_20260828_e210057f2894,BEL.NS,2015-01-20,FLOAT_ONLY,False,WAIT FOR BETTER ENTRY,WAIT FOR BETTER ENTRY,PULLBACK,PULLBACK,STRONG BULL,STRONG BULL,80.0,80.0,0.0,35.0,35.0,0.0,24.7198,24.7198,0.0,25.6407,25.6407,0.0,23.4847,23.4848,9.999999999976694e-05,28.4791,28.4791,0.0,31.0306,31.0306,0.0,1.3165,1.3165,0.0,2.5,2.5,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,BEL.NS,2015-02-03,SIGNAL_LABEL_DIFFERENCE|SCORE_DIFFERENCE,False,WAIT FOR BETTER ENTRY,AVOID,BREAKOUT,BREAKOUT,STRONG BULL,STRONG BULL,75.0,75.0,0.0,17.0,38.0,21.0,29.7519,29.7518,9.999999999976694e-05,30.1981,30.1981,0.0,25.8985,25.8985,0.0,36.6475,36.6475,0.0,40.9471,40.9471,0.0,1.5,1.5,0.0,2.5,2.5,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,BEL.NS,2015-02-06,TARGET_DIFFERENCE,False,WAIT FOR BETTER ENTRY,WAIT FOR BETTER ENTRY,PULLBACK,PULLBACK,STRONG BULL,STRONG BULL,80.0,80.0,0.0,35.0,35.0,0.0,27.1969,27.1969,0.0,28.1493,28.1493,0.0,26.1084,26.1084,0.0,30.5663,30.5663,0.0,33.2515,33.2514,0.00010000000000331966,1.1843,1.1843,0.0,2.5,2.5,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,BEL.NS,2015-02-12,SIGNAL_LABEL_DIFFERENCE|SCORE_DIFFERENCE,False,WAIT FOR BETTER ENTRY,WATCH,BREAKOUT,BREAKOUT,STRONG BULL,STRONG BULL,80.0,80.0,0.0,35.0,62.0,27.0,30.6275,30.6275,0.0,31.0869,31.0869,0.0,27.032,27.032,0.0,37.1692,37.1692,0.0,41.2241,41.2241,0.0,1.5,1.5,0.0,2.5,2.5,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,BEL.NS,2015-02-24,FLOAT_ONLY,False,WAIT FOR BETTER ENTRY,WAIT FOR BETTER ENTRY,PULLBACK,PULLBACK,STRONG BULL,STRONG BULL,83.0,83.0,0.0,35.0,35.0,0.0,29.0382,29.0382,0.0,30.1859,30.1859,0.0,27.032,27.032,0.0,34.4962,34.4963,9.999999999621423e-05,38.0708,38.0708,0.0,1.3666,1.3666,0.0,2.5,2.5,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,BEL.NS,2015-02-25,FLOAT_ONLY,False,WATCH,WATCH,PULLBACK,PULLBACK,STRONG BULL,STRONG BULL,81.0,81.0,0.0,77.0,77.0,0.0,29.1848,29.1848,0.0,30.2956,30.2956,0.0,27.8079,27.8079,0.0,34.4962,34.4963,9.999999999621423e-05,36.515,36.515,0.0,1.6885,1.6885,0.0,2.5,2.5,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,BEL.NS,2015-02-26,FLOAT_ONLY,False,WATCH,WATCH,PULLBACK,PULLBACK,BULL,BULL,83.0,83.0,0.0,83.0,83.0,0.0,29.2859,29.2859,0.0,30.3508,30.3508,0.0,27.8079,27.8079,0.0,34.4962,34.4963,9.999999999621423e-05,36.7079,36.7079,0.0,1.6302,1.6302,0.0,2.5,2.5,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,BEL.NS,2015-02-27,FLOAT_ONLY,False,WAIT FOR BETTER ENTRY,WAIT FOR BETTER ENTRY,PULLBACK,PULLBACK,STRONG BULL,STRONG BULL,85.0,85.0,0.0,35.0,35.0,0.0,29.3966,29.3966,0.0,30.6331,30.6331,0.0,27.8079,27.8079,0.0,34.4962,34.4963,9.999999999621423e-05,37.6961,37.6961,0.0,1.3674,1.3674,0.0,2.5,2.5,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,BEL.NS,2015-03-02,FLOAT_ONLY,False,WATCH,WATCH,PULLBACK,PULLBACK,STRONG BULL,STRONG BULL,81.0,81.0,0.0,82.0,82.0,0.0,29.5334,29.5334,0.0,30.3108,30.3108,0.0,27.8079,27.8079,0.0,34.4962,34.4963,9.999999999621423e-05,36.5681,36.5681,0.0,1.6722,1.6722,0.0,2.5,2.5,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,BEL.NS,2015-03-03,FLOAT_ONLY,False,WATCH,WATCH,PULLBACK,PULLBACK,STRONG BULL,STRONG BULL,80.0,80.0,0.0,80.0,80.0,0.0,29.6479,29.6479,0.0,30.2954,30.2954,0.0,27.8079,27.8079,0.0,34.4962,34.4963,9.999999999621423e-05,36.5142,36.5142,0.0,1.6888,1.6888,0.0,2.5,2.5,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,BEL.NS,2015-03-04,FLOAT_ONLY,False,WATCH,WATCH,PULLBACK,PULLBACK,STRONG BULL,STRONG BULL,74.0,74.0,0.0,82.0,82.0,0.0,29.6887,29.6887,0.0,30.4764,30.4764,0.0,27.8079,27.8079,0.0,34.4962,34.4963,9.999999999621423e-05,37.1478,37.1477,9.999999999621423e-05,1.5064,1.5064,0.0,2.5,2.5,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,BEL.NS,2015-03-05,FLOAT_ONLY,False,WATCH,WATCH,PULLBACK,PULLBACK,STRONG BULL,STRONG BULL,70.0,70.0,0.0,88.0,88.0,0.0,28.9999,28.9999,0.0,29.8144,29.8144,0.0,27.7071,27.7071,0.0,34.4962,34.4963,9.999999999621423e-05,35.0825,35.0825,0.0,2.2218,2.2218,0.0,2.5,2.5,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,BEL.NS,2015-03-09,FLOAT_ONLY,False,WATCH,WATCH,PULLBACK,PULLBACK,STRONG BULL,STRONG BULL,65.0,65.0,0.0,81.0,81.0,0.0,27.9799,27.9799,0.0,28.6671,28.6671,0.0,26.5737,26.5736,9.999999999976694e-05,34.4962,34.4963,9.999999999621423e-05,35.8919,35.8919,0.0,2.7844,2.7844,0.0,3.4511,3.4511,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,BEL.NS,2015-07-24,FLOAT_ONLY,False,WATCH,WATCH,PULLBACK,PULLBACK,BULL,BULL,81.0,81.0,0.0,84.0,84.0,0.0,28.8775,28.8775,0.0,29.547,29.547,0.0,28.2918,28.2917,9.999999999976694e-05,31.5413,31.5413,0.0,34.4962,34.4963,9.999999999621423e-05,1.5889,1.5889,0.0,3.943,3.943,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,BEL.NS,2015-07-27,FLOAT_ONLY,False,WAIT FOR BETTER ENTRY,WAIT FOR BETTER ENTRY,PULLBACK,PULLBACK,BEAR,BEAR,87.0,87.0,0.0,35.0,35.0,0.0,28.9839,28.9839,0.0,29.7306,29.7306,0.0,28.3306,28.3306,0.0,31.5413,31.5413,0.0,34.4962,34.4963,9.999999999621423e-05,1.2934,1.2934,0.0,3.4042,3.4042,0.0,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,BEL.NS,2015-10-05,SIGNAL_LABEL_DIFFERENCE|SETUP_DIFFERENCE,False,AVOID,WATCH - EXTENDED,NO_CLEAR_SETUP,OVEREXTENDED,BEAR,BEAR,53.0,53.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
