Experiment ID,Variant,Ticker,Trades,Wins,Losses,Win Rate %,Average Return %,Median Return %,Average R,Median R,Profit Factor,Expectancy R,Average Holding Days,Max Consecutive Losses,Total Net PnL,Config SHA-256,Data Manifest SHA-256,Survivorship Bias Warning
S221_20110830_20260828_e210057f2894,T1_20D,CIPLA.NS,16,6,10,37.5,0.5699007096175159,-3.098015302768003,0.11404156257158105,-1.0323124789279694,1.1770968434615323,0.11404156257158105,9.1875,4,1406.6654611359454,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_20D,HAL.NS,9,4,5,44.44444444444444,-0.20378334100263,-3.804221519304013,0.13678518068840315,-1.0222487533468094,1.2576705924889708,0.13678518068840315,7.666666666666667,3,1105.4411604714091,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_20D,HCLTECH.NS,21,10,11,47.61904761904761,0.44286995139921986,-0.4056244556205146,0.08528465303172594,-1.0174686867409763,1.3814804207026703,0.08528465303172594,7.666666666666667,4,3090.137639765766,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_20D,HDFCBANK.NS,21,10,11,47.61904761904761,0.3699702157786998,-0.9280521193975105,0.1880086368605313,-0.2684387396917083,1.4837979453008063,0.1880086368605313,13.761904761904763,5,3255.148983496947,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_20D,HINDUNILVR.NS,16,6,10,37.5,0.8431604280655389,-1.4628831828201385,0.18322636748480065,-0.5456562064264379,1.1996447037064923,0.18322636748480065,10.3125,3,1318.2780003671746,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_20D,ICICIBANK.NS,28,6,22,21.428571428571427,-1.6155503537618043,-3.4405339991274886,-0.5700091594384653,-1.0394933860920443,0.3343140057346885,-0.5700091594384653,8.392857142857142,14,-12031.990429285459,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_20D,INFY.NS,25,17,8,68.0,2.488218613565887,3.5611724731708065,0.6031741456120921,0.8222097935038056,3.1541353696528613,0.6031741456120921,12.36,3,12766.125983586095,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_20D,ITC.NS,16,7,9,43.75,0.7252174073859332,-2.7268063725600764,0.1377251497398266,-0.732035906194856,1.2422144088768978,0.1377251497398266,8.9375,2,1782.3751838932778,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_20D,LT.NS,20,5,15,25.0,-1.3341710343556752,-3.215770919741386,-0.32560103557219267,-1.0381228672940845,0.5935748621333578,-0.32560103557219267,7.65,9,-4729.008528514182,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_20D,M&M.NS,18,11,7,61.111111111111114,2.353490907090796,3.6748369303258803,0.6396013949813706,0.8583139709181018,2.5658730417351836,0.6396013949813706,10.833333333333334,3,9292.261625652736,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
