Experiment ID,Variant,Ticker,Signal Date,Entry Date,Exit Date,Signal,Setup,Market Regime,Entry Method,Nominal Entry,Executed Entry,Buy Limit,Stop,Target,Target Name,Quantity,Initial Risk Per Share,Portfolio Risk Budget,Position Value,Capital Constraint Reason,Exit Reason,Nominal Exit,Executed Exit,Gross PnL,Entry Slippage Cost,Exit Slippage Cost,Slippage Cost,Entry Transaction Cost,Exit Transaction Cost,Transaction Cost,Net PnL,Net Return %,R Multiple,Result,Bars Held,Portfolio Equity At Entry,Technical Score,Actionability Score,Planned R:R T1,RS 60D,Conservative Entry-Bar Ambiguity,ENTRY_BAR_AMBIGUITY,Config SHA-256,Data Manifest SHA-256,Survivorship Bias Warning
S221_20110830_20260828_e210057f2894,T1_20D,ICICIBANK.NS,2013-12-16,2013-12-17,2014-01-06,BUY,PULLBACK,BULL,PULLBACK_LIMIT,178.8243,178.8243,178.8243,169.7671,196.5919,T1,86,9.057199999999995,784.6901441408523,15378.889799999999,NONE,STOP,169.7671,169.68221645,-778.9191999999996,0.0,7.29998530000006,7.29998530000006,7.6894449,7.296335307350001,14.98578020735,-801.2049655073497,-5.2097711598619405,-1.0286111390081925,LOSS,14,104625.35255211365,71.0,90.0,1.9617,8.8321,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_20D,MARUTI.NS,2014-01-14,2014-01-15,2014-01-27,BUY,PULLBACK,STRONG BULL,PULLBACK_LIMIT,1582.2494,1582.2494,1582.2494,1527.683,1664.1,T1,14,54.56639999999993,772.7334956745307,22151.491599999998,NONE,STOP,1527.683,1526.9191585,-763.929599999999,0.0,10.69378099999858,10.69378099999858,11.075745799999998,10.688434109500001,21.7641799095,-796.3875609094976,-3.5951870659107112,-1.0424881571672293,LOSS,9,103031.1327566041,77.0,87.0,1.5,21.7574,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_20D,WIPRO.NS,2014-02-07,2014-02-13,2014-02-25,BUY,PULLBACK,NEUTRAL,PULLBACK_LIMIT,88.9005,88.9005,88.9005,85.3128,94.8953,T1,213,3.587699999999998,766.7605889677095,18935.8065,NONE,TARGET,94.8953,94.84785235000001,1276.8924000000027,0.0,10.106349449998973,10.106349449998973,9.467903249999999,10.101296275275,19.569199525275,1247.2168510247286,6.586552577122758,1.6320980499554087,WIN,9,102234.7451956946,76.0,86.0,1.6709,16.3167,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_20D,TMPV.NS,2014-03-10,2014-03-11,2014-03-19,BUY,PULLBACK,STRONG BULL,PULLBACK_OPEN,377.0453375811751,377.23386024996563,379.9236,364.7624,403.6208,T1,62,12.471460249965617,776.1147153503949,23388.49933549787,NONE,STOP,364.7624,364.58001880000006,-761.5421300328547,11.688405465013489,11.307634399997028,22.996039865010516,11.694249667748934,11.301980582800002,22.996230250548937,-807.5344001484142,-3.4526986471627947,-1.0443643429426366,LOSS,6,103481.96204671933,86.0,91.0,1.563,6.6351,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_20D,M&M.NS,2014-03-21,2014-03-26,2014-04-25,BUY,PULLBACK,STRONG BULL,PULLBACK_LIMIT,425.9543,425.9543,425.9543,407.2731,466.6954,T1,41,18.68119999999999,770.0582073492819,17464.1263,NONE,TARGET,466.6954,466.46205230000004,1670.3851000000006,0.0,9.567255699998668,9.567255699998668,8.73206315,9.562472072150001,18.294535222150003,1642.523309077852,9.405127292728363,2.144484515119482,WIN,20,102674.42764657093,70.0,97.0,2.1809,-2.7684,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_20D,TITAN.NS,2014-04-28,2014-04-30,2014-05-06,BUY,PULLBACK,STRONG BULL,PULLBACK_LIMIT,240.4799,240.4799,240.4799,230.6004,259.4075,T1,78,9.879499999999979,779.9288359262217,18757.4322,NONE,TARGET,259.4075,259.27779625000005,1476.3528000000033,0.0,10.11689249999813,10.11689249999813,9.3787161,10.111834053750004,19.490550153750004,1446.745357346255,7.712917961906615,1.8774247079179216,WIN,4,103990.51145682957,71.0,87.0,1.9158,13.117,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_20D,HDFCBANK.NS,2014-04-07,2014-04-09,2014-05-09,BUY,PULLBACK,STRONG BULL,PULLBACK_LIMIT,161.4493,161.4493,161.4493,156.33,169.3287,T1,151,5.119299999999981,777.5007319088662,24378.8443,NONE,TIME_20D,168.44947814941406,168.36525341033936,1057.0269005615244,0.0,12.71793560027956,12.71793560027956,12.18942215,12.711576632480623,24.900998782480624,1019.4079661787641,4.181527038912029,1.3187439950060016,WIN,20,103666.7642545155,70.0,85.0,1.5392,0.9836,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_20D,TMPV.NS,2014-04-29,2014-04-30,2014-05-12,BUY,PULLBACK,STRONG BULL,PULLBACK_LIMIT,392.3478,392.3478,392.3478,377.1149,420.0266,T1,51,15.23290000000003,783.5730597311903,20009.7378,NONE,TARGET,420.0266,419.8165867,1411.6187999999984,0.0,10.710678299997824,10.710678299997824,10.0048689,10.705322960850001,20.710191860850003,1380.1979298391504,6.897631261510835,1.7765956913424203,WIN,8,104476.4079641587,70.0,87.0,1.817,7.6361,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_20D,MARUTI.NS,2014-05-06,2014-05-07,2014-05-12,BUY,PULLBACK,STRONG BULL,PULLBACK_LIMIT,1685.0571,1685.0571,1685.0571,1626.5985,1795.4833,T1,13,58.45859999999993,795.0226114247979,21905.742299999998,NONE,TARGET,1795.4833,1794.5855583500002,1435.5406000000014,0.0,11.670641449999266,11.670641449999266,10.95287115,11.664806129275002,22.617677279275,1401.252281270727,6.396734984281849,1.8438456791785174,WIN,4,106003.01485663973,71.0,87.0,1.889,7.4624,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
S221_20110830_20260828_e210057f2894,T1_20D,TMPV.NS,2014-05-23,2014-05-28,2014-05-30,BUY,PULLBACK,STRONG BULL,PULLBACK_LIMIT,413.7905,413.7905,413.7905,395.6398,446.1224,T1,45,18.15070000000003,821.7341586771274,18620.572500000002,NONE,STOP_GAP,394.7943125755568,394.596915419269,-854.8284340999455,0.0,8.882872032949365,8.882872032949365,9.31028625,8.878430596933553,18.188716846933552,-881.9000229798283,-4.736159551376995,-1.0797257564964766,LOSS,3,109564.55449028366,70.0,93.0,1.7813,-9.6691,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.
