Experiment ID,Variant,Period,Trades,Wins,Losses,Win Rate %,Net Return %,Average R,Expectancy R,Profit Factor,Max Drawdown %,Ending Equity,Survivorship Bias Warning,Net PnL,Negative Expectancy Flag,Profit Factor Below One Flag,Negative Return Flag,Config SHA-256,Data Manifest SHA-256
S221_20110830_20260828_e210057f2894,T2_10D,2016-2020,108,52,56,48.148148148148145,4.967341280953574,0.06600971829630367,0.06600971829630367,1.1358029956154936,-7.228964476432031,116452.9857746228,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,5510.873348504495,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T2_10D,2021-2023,94,43,51,45.744680851063826,12.083022417642297,0.1596797716478412,0.1596797716478412,1.3947627546183547,-12.668541637944742,130524.02615178427,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,14027.99989974512,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T2_10D,2024-2026,46,17,29,36.95652173913043,-1.9621061366271286,-0.11397570633966986,-0.11397570633966986,0.8738049137687091,-6.20222977428454,127963.00622488731,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,-2517.9794494806233,True,True,True,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T2_20D,2011-2015,100,41,59,41.0,14.60802205380405,0.22667607641462006,0.22667607641462006,1.2990644374973996,-8.426894852382727,114608.02205380406,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,14608.02205380417,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T2_20D,2016-2020,102,42,60,41.17647058823529,10.209324374456607,0.12999929601538265,0.12999929601538265,1.209279944706238,-10.625894370115175,126308.72678442567,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,10627.373936327884,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T2_20D,2021-2023,89,32,57,35.95505617977528,4.069266849168729,0.04424444744182047,0.04424444744182047,1.1233077442788797,-18.568029885642378,131448.5659310714,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,6001.243026469545,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T2_20D,2024-2026,45,17,28,37.77777777777778,-0.14228468439395625,-0.08666027744203508,-0.08666027744203508,1.0010759644784963,-4.464332100146528,131261.534753896,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,24.895737294535365,True,False,True,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T2_30D,2011-2015,97,36,61,37.11340206185567,9.39764828996994,0.16153586662497854,0.16153586662497854,1.1856851321926287,-9.953244192067478,109397.64828996993,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,9397.64828996996,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T2_30D,2016-2020,99,40,59,40.4040404040404,13.370006857425798,0.18583907108595246,0.18583907108595246,1.266463438898166,-10.900304582670795,124024.12136820148,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,13553.142283937752,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T2_30D,2021-2023,87,28,59,32.18390804597701,4.639971459695391,0.060319358967481675,0.060319358967481675,1.0980794582094746,-20.117577217251416,129778.80520282399,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,4966.36254163796,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T2_30D,2024-2026,45,14,31,31.11111111111111,-3.5310562192057304,-0.14350127995685186,-0.14350127995685186,0.8959148645824611,-9.260992626172227,125196.24263049879,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,-2720.9104850469103,True,True,True,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T2_45D,2011-2015,96,35,61,36.45833333333333,10.217409837386192,0.17706492686483924,0.17706492686483924,1.1991287845175982,-9.21762916550013,110217.40983738619,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,10217.409837386242,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T2_45D,2016-2020,96,32,64,33.33333333333333,5.0440208727780655,0.08189773101553274,0.08189773101553274,1.086554171392917,-12.659144724195725,115776.7989950193,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,4575.502596197212,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T2_45D,2021-2023,87,29,58,33.33333333333333,8.880962697781158,0.11922285696366218,0.11922285696366218,1.1895533625203432,-19.069501709484825,126058.89332645203,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,9405.633062481782,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T2_45D,2024-2026,44,12,32,27.27272727272727,-4.034238104071286,-0.16283329548487957,-0.16283329548487957,0.8748582901868305,-10.204832827018361,120973.37741830572,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,-3225.1680777594433,True,True,True,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T2_63D,2011-2015,96,35,61,36.45833333333333,13.501463714976648,0.21676060469455918,0.21676060469455918,1.2576727602574618,-9.522649348009738,113501.46371497665,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,13501.46371497664,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T2_63D,2016-2020,95,31,64,32.631578947368425,6.0794150928751955,0.09607879305305693,0.09607879305305693,1.1043965789887402,-11.888344038865927,120401.6888306992,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,5886.523810000782,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T2_63D,2021-2023,87,28,59,32.18390804597701,6.006109833138074,0.08301360615426176,0.08301360615426176,1.1209579826794105,-21.271342187443988,127633.14650282414,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,6384.811147459917,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T2_63D,2024-2026,43,11,32,25.581395348837212,-5.251156771273235,-0.20713926379187544,-0.20713926379187544,0.8187017191302949,-10.666779143999372,120930.92988785199,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,-4841.868784585295,True,True,True,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
