Experiment ID,Variant,Year,Trades,Wins,Losses,Win Rate %,Gross Return %,Net Return %,Average R,Expectancy R,Profit Factor,Max Drawdown %,Ending Equity,Survivorship Bias Warning,Net PnL,Negative Expectancy Flag,Profit Factor Below One Flag,Negative Return Flag,Config SHA-256,Data Manifest SHA-256
S221_20110830_20260828_e210057f2894,T1_20D,2011,0,0,0,0.0,0.0,0.0,,,,0.0,100000.0,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_20D,2012,22,12,10,54.54545454545454,5.590435292187275,4.830913053874908,0.29902627292755557,0.29902627292755557,1.681884137830605,-3.0178846869116205,104830.9130538749,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,4876.858025119443,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_20D,2013,23,8,15,34.78260869565217,0.546337799664574,-0.18738077291129418,0.027325778902083618,0.027325778902083618,0.9778114523691978,-4.807529762471507,104634.48007874459,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,-251.5054730057816,False,True,True,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_20D,2014,34,20,14,58.82352941176471,14.51011139215036,13.011058007496935,0.5103757837117624,0.5103757837117624,2.169374751596939,-2.4325524245933483,118248.53297763287,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,13980.952695393264,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_20D,2015,21,4,17,19.047619047619047,-7.02604837129144,-7.319879079638836,-0.4887511839884366,-0.4887511839884366,0.3771656117333403,-7.3978469651070355,109592.88335022329,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,-9013.421897283584,True,True,True,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_20D,2016,17,6,11,35.294117647058826,0.634936413751514,0.1025210711765201,0.019886762574173603,0.019886762574173603,1.013078114821974,-5.944388303993531,109705.23914816717,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,112.35579794389616,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_20D,2017,20,10,10,50.0,3.2828993269310747,2.764890784977325,0.18008069857824563,0.18008069857824563,1.3505310757781386,-4.387114606195941,112738.46919601219,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,2852.4777045301357,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_20D,2018,25,10,15,40.0,0.007477845133090822,-1.0011352563810805,-0.03305583004788108,-0.03305583004788108,0.92521953473453,-5.42189183107774,111609.80463338658,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,-947.9122193108188,True,True,True,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_20D,2019,22,9,13,40.909090909090914,1.768156063289663,0.7050176008851716,0.059195571954867465,0.059195571954867465,1.1201954811206372,-4.773858677579579,112396.67340036551,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,1169.3234606557892,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_20D,2020,20,9,11,45.0,2.390667465772389,3.09384615943733,0.14113790836590107,0.14113790836590107,1.2321380777278406,-5.549065125678165,115874.05356369805,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,2111.038908219768,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
S221_20110830_20260828_e210057f2894,T1_20D,2021,35,16,19,45.714285714285715,7.115385746669784,5.236200100769817,0.23469368534557197,0.23469368534557197,1.4254874189143092,-6.417675621908813,121941.45087316647,This test uses the supplied/current ticker universe and is not a survivorship-bias-free historical index-constituent study.,7051.283870904353,False,False,False,b2dc08f8e57ea70d6a36372de7ecf55973b2df31ba21790751114c469ae92677,03d9336d738313c29e42ee886423cfa38cf070a550b61ae611fb3fceea482aae
