Friction Multiplier,Policy,Starting Equity,Ending Equity,Total Return %,CAGR %,Annualized Volatility %,Sharpe RF 6%,Sharpe RF 0%,Sortino RF 6%,Calmar,Max Drawdown %,Max Drawdown Start Date,Max Drawdown Trough Date,Recovery Date,Drawdown Duration Sessions,Recovery Duration Sessions,Longest Underwater Duration Sessions,Trades,Win Rate %,Average Winner,Average Loser,Expectancy R,Median R,Profit Factor,Average Holding Days,Median Holding Days,Maximum Holding Days,Average Exposure %,Median Exposure %,Days Fully Cash,Average Open Positions,Capacity Rejects,Turnover (Gross Notional / Average Equity),Total Slippage,Total Transaction Costs
1.0,D5_RESISTANCE_TIGHTEN,100000.0,114128.78865780312,14.128788657803115,1.2479714871273861,3.6792513005486707,-1.2221084971041596,0.36179106617845597,-1.696057783997152,0.11027042315356363,-11.31737279532744,2021-11-17,2023-05-23,,374,,1185,287,25.435540069686414,1228.108843166885,-352.9119480999039,0.061526194229216694,-0.3033588120922218,1.1870788939311638,5.937282229965157,3.0,30,9.515765457069183,0.0,1630,0.537556904400607,1,115.26472144973411,4021.511364159677,6214.347213688522
1.0,D6_HYBRID_DYNAMIC,100000.0,112424.67855400706,12.424678554007063,1.105127386275151,3.548092612440376,-1.3091634622211556,0.33328648615768286,-1.8392421625146658,0.10203171928151529,-10.831213999501454,2021-11-17,2023-05-23,,374,,1185,287,25.087108013937282,1158.8347763138313,-330.28569925855317,0.04780723671633425,-0.29687566274380456,1.1749673168002894,5.7456445993031355,3.0,30,9.044191879859238,0.0,1663,0.5166919575113809,0,115.14425534301668,3996.369076447931,6171.709242527594
1.5,D1_TRAIL_ONLY,100000.0,115156.30475601523,15.156304756015238,1.3331700173470296,4.014993128461251,-1.0953573424911325,0.35609334290006583,-1.53696668697418,0.10725561059992765,-12.429839426488043,2021-11-16,2023-05-23,,375,,1186,285,24.912280701754387,1354.737704149399,-378.6451973765988,0.058990948411244276,-0.3258894129647504,1.1870454306320697,6.392982456140351,3.0,34,11.000853222840936,0.0,1573,0.5830804248861912,1,114.7281427925159,6108.469896298038,9495.270258887736
1.5,D2_BREAK_EVEN_TRAIL,100000.0,111961.00264625017,11.961002646250174,1.0659210410056907,4.00783928800979,-1.1645086584335704,0.28953281113839974,-1.625467266780655,0.08487283127734055,-12.559037149621656,2021-11-16,2023-05-23,,375,,1186,285,24.210526315789473,1327.3187787432553,-368.62959762516,0.04406307620694728,-0.3258894129647504,1.150218573353585,6.347368421052631,3.0,34,10.911200219919028,0.0,1581,0.5781487101669196,1,114.61154722191942,6020.603810724436,9354.132864767485
1.5,D3_PARTIAL_T1_TRAIL,100000.0,109851.52630264188,9.851526302641878,0.8856747874501192,3.7434840986927105,-1.2980513894626176,0.25867073744079844,-1.785038609435785,0.0755654654069847,-11.720629029147144,2021-11-17,2023-05-23,,374,,1185,285,25.263157894736842,1214.9134528152886,-364.4236727702294,0.0377245758639832,-0.3258894129647503,1.126916280833006,6.389473684210526,3.0,34,9.931881043125408,0.0,1576,0.582701062215478,1,114.07200510581437,5864.2901059180585,9104.654121039053
1.5,D4_TREND_PROTECT,100000.0,107590.31095621524,7.590310956215229,0.688946152619585,3.601964258871478,-1.4057045071958363,0.2121806547107544,-1.9513690464303823,0.06174473289846838,-11.157974458363473,2021-11-17,2023-05-23,,374,,1185,285,24.912280701754387,1136.678849450393,-341.65367922786214,0.024356335239780574,-0.315646980800885,1.103814900709434,6.196491228070175,3.0,34,9.437979947760908,0.0,1609,0.5618361153262519,0,113.89119474942125,5819.054695653055,9022.89063934206
1.5,D5_RESISTANCE_TIGHTEN,100000.0,109175.44075035806,9.175440750358055,0.827242009235829,3.6991272118695364,-1.330017889568032,0.245371166922617,-1.8243563774848075,0.06903775970847661,-11.982457320877671,2021-11-17,2023-05-23,,374,,1185,287,25.087108013937282,1201.979095658735,-359.84676342823605,0.03554034816737655,-0.3258894129647503,1.1185962274601033,5.937282229965157,3.0,30,9.475152922689476,0.0,1630,0.537556904400607,1,114.64743092949085,5836.9234694477955,9073.285156792253
1.5,D6_HYBRID_DYNAMIC,100000.0,106759.74893250394,6.759748932503928,0.6157443287085007,3.5478053621057564,-1.4485914799423467,0.19399145044906443,-2.0063925085466225,0.053172910254102985,-11.580038139082072,2021-11-17,2023-05-23,,374,,1185,287,24.738675958188153,1123.8366514854647,-338.1141357544624,0.022174083654637692,-0.315646980800885,1.0925578987608635,5.7456445993031355,3.0,30,8.98942373796887,0.0,1663,0.5166919575113809,0,114.68782535080139,5794.893180877806,8995.020377754638
2.0,D1_TRAIL_ONLY,100000.0,110206.8208239009,10.206820823900898,0.9162517075872456,4.023216039234228,-1.1974283650888975,0.2510557509306943,-1.6637663840063392,0.06948231877445996,-13.186832617970111,2021-11-16,2023-05-23,,375,,1186,285,23.50877192982456,1389.3702318904152,-380.1880032695267,0.03340304803968841,-0.34562397948086365,1.1231503324830792,6.392982456140351,3.0,34,10.982725135295105,0.0,1573,0.5830804248861912,1,114.41006414152568,7894.212611072253,12342.493987509797
2.0,D2_BREAK_EVEN_TRAIL,100000.0,108425.62241998498,8.42562241998499,0.7620519162160111,4.018819269931352,-1.2375440000328302,0.21252482285444035,-1.7143173771230542,0.05770292600529855,-13.206469220400297,2021-11-16,2023-05-23,,375,,1186,285,23.157894736842106,1378.2827557758824,-376.899723567229,0.02616421305414439,-0.34562397948086365,1.1020779781183074,6.3578947368421055,3.0,34,10.906554724700827,0.0,1580,0.5792867981790591,1,114.38141156892215,7872.5765634935815,12310.082347672309
