Policy,Year,Start Equity (Prior Session),End Equity,Return %,First Session,Last Session
D2_BREAK_EVEN_TRAIL,2025,119318.98146145989,118701.85668192308,-0.5172058728444173,2025-01-01,2025-12-31
D2_BREAK_EVEN_TRAIL,2026,118701.85668192308,116768.1581502041,-1.629038151358131,2026-01-01,2026-08-28
D3_PARTIAL_T1_TRAIL,2016,100000.0,100542.86783096593,0.5428678309659318,2016-01-01,2016-12-30
D3_PARTIAL_T1_TRAIL,2017,100542.86783096593,102750.61154530484,2.195823296039845,2017-01-02,2017-12-29
D3_PARTIAL_T1_TRAIL,2018,102750.61154530484,102766.10328287748,0.015077027123888698,2018-01-01,2018-12-31
D3_PARTIAL_T1_TRAIL,2019,102766.10328287748,107012.18776663231,4.131794772899888,2019-01-01,2019-12-31
D3_PARTIAL_T1_TRAIL,2020,107012.18776663231,106219.22354029155,-0.7410036584524549,2020-01-01,2020-12-31
D3_PARTIAL_T1_TRAIL,2021,106219.22354029155,119479.09052262438,12.483490784794737,2021-01-01,2021-12-31
D3_PARTIAL_T1_TRAIL,2022,119479.09052262438,110355.82246461202,-7.635870023872327,2022-01-03,2022-12-30
D3_PARTIAL_T1_TRAIL,2023,110355.82246461202,114858.11273693145,4.079794044182106,2023-01-02,2023-12-29
D3_PARTIAL_T1_TRAIL,2024,114858.11273693145,116214.14674855676,1.1806166576418864,2024-01-01,2024-12-31
D3_PARTIAL_T1_TRAIL,2025,116214.14674855676,115936.97302763008,-0.2385025650331274,2025-01-01,2025-12-31
D3_PARTIAL_T1_TRAIL,2026,115936.97302763008,114683.69125831718,-1.0810026660039052,2026-01-01,2026-08-28
D4_TREND_PROTECT,2016,100000.0,100542.86783096593,0.5428678309659318,2016-01-01,2016-12-30
D4_TREND_PROTECT,2017,100542.86783096593,101018.26463093435,0.4728299582300144,2017-01-02,2017-12-29
D4_TREND_PROTECT,2018,101018.26463093435,101883.56409240069,0.8565772384109493,2018-01-01,2018-12-31
D4_TREND_PROTECT,2019,101883.56409240069,106273.42002909936,4.308698832637425,2019-01-01,2019-12-31
D4_TREND_PROTECT,2020,106273.42002909936,106796.70476024774,0.49239474085345236,2020-01-01,2020-12-31
D4_TREND_PROTECT,2021,106796.70476024774,118193.80833233279,10.671774562399538,2021-01-01,2021-12-31
D4_TREND_PROTECT,2022,118193.80833233279,109859.99209338991,-7.050975306176932,2022-01-03,2022-12-30
D4_TREND_PROTECT,2023,109859.99209338991,114396.59722088906,4.12944243036415,2023-01-02,2023-12-29
D4_TREND_PROTECT,2024,114396.59722088906,116272.33302652284,1.6396779722493982,2024-01-01,2024-12-31
D4_TREND_PROTECT,2025,116272.33302652284,114023.07825074947,-1.9344711826331795,2025-01-01,2025-12-31
D4_TREND_PROTECT,2026,114023.07825074947,112864.05027786027,-1.016485426169933,2026-01-01,2026-08-28
D5_RESISTANCE_TIGHTEN,2016,100000.0,100363.80185027048,0.3638018502704732,2016-01-01,2016-12-30
D5_RESISTANCE_TIGHTEN,2017,100363.80185027048,102141.93130408658,1.7716840345175733,2017-01-02,2017-12-29
D5_RESISTANCE_TIGHTEN,2018,102141.93130408658,101924.63061807124,-0.21274385870815316,2018-01-01,2018-12-31
D5_RESISTANCE_TIGHTEN,2019,101924.63061807124,106341.34966599509,4.333318670022002,2019-01-01,2019-12-31
D5_RESISTANCE_TIGHTEN,2020,106341.34966599509,105740.54784063499,-0.564974797900486,2020-01-01,2020-12-31
D5_RESISTANCE_TIGHTEN,2021,105740.54784063499,117648.31696160359,11.261308328868491,2021-01-01,2021-12-31
D5_RESISTANCE_TIGHTEN,2022,117648.31696160359,108344.23234396895,-7.9083873513219665,2022-01-03,2022-12-30
