Mode,Target,Model Variant,Metric,Point Value,Identity Bootstrap Value,Absolute Difference,Absolute Tolerance,Status
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,Top 10% Success Rate,0.253333333333,0.253333333333,0,0,PASS
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,Top 10% Lift,0.84369047619,0.84369047619,0,0,PASS
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,Top 20% Rows,150,150,0,0,PASS
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,Top 20% Success Rate,0.233333333333,0.233333333333,0,0,PASS
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,Top 20% Lift,0.777083333333,0.777083333333,0,0,PASS
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,Bottom 20% Rows,150,150,0,0,PASS
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,Bottom 20% Success Rate,0.32,0.32,0,0,PASS
PRIMARY_ONLY,JOINT_T1,DUMMY_PRIOR,Bottom 20% Lift,1.06571428571,1.06571428571,0,0,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,Rows,746,746,0,0,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,Positive Count,224,224,0,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,Prevalence,0.300268096515,0.300268096515,0,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,ROC AUC,0.575747468528,0.575747468528,0,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,Average Precision,0.372831990333,0.372831990333,5.55111512313e-17,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,Brier Score,0.235673535702,0.235673535702,2.77555756156e-17,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,Brier Benchmark Score,0.2109965173,0.2109965173,8.32667268469e-17,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,Brier Skill Score vs Training Prior,-0.116954624266,-0.116954624266,6.66133814775e-16,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,Log Loss,0.76082110254,0.76082110254,0,0,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,Accuracy at 0.50,0.675603217158,0.675603217158,0,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,Precision at 0.50,0.426229508197,0.426229508197,0,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,Recall at 0.50,0.232142857143,0.232142857143,0,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,Specificity at 0.50,0.865900383142,0.865900383142,0,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,F1 at 0.50,0.300578034682,0.300578034682,0,1e-14,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,Overall Success Rate,0.300268096515,0.300268096515,0,0,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,Top 10% Rows,75,75,0,0,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,Top 10% Success Rate,0.466666666667,0.466666666667,0,0,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,Top 10% Lift,1.55416666667,1.55416666667,0,0,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,Top 20% Rows,150,150,0,0,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,Top 20% Success Rate,0.4,0.4,0,0,PASS
PRIMARY_ONLY,JOINT_T1,LOGIT_FULL,Top 20% Lift,1.33214285714,1.33214285714,0,0,PASS
