Mode,Target,Model Variant,Feature Set,Scope,Rows,Positive Count,Prevalence,ROC AUC,Average Precision,Brier Score,Brier Benchmark Score,Brier Skill Score vs Training Prior,Log Loss,Accuracy at 0.50,Precision at 0.50,Recall at 0.50,Specificity at 0.50,F1 at 0.50
PRIMARY_ONLY,JOINT_T2,LOGIT_RULE,FS1_RULE_SUMMARY,RECENT_2024_2026,131,23,0.175572519084,0.601046698873,0.219583268766,0.146302774051,0.148901025854,0.0174495225127,0.467807386069,0.824427480916,0,0,1,0
PRIMARY_ONLY,JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,ERA_2016_2020,319,76,0.238244514107,0.45202512454,0.213757965026,0.192425252456,0.183007305531,-0.0514621364267,0.585364307227,0.761755485893,0,0,1,0
PRIMARY_ONLY,JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,ERA_2021_2023,296,68,0.22972972973,0.47503869969,0.228801905547,0.184516299335,0.178981687751,-0.0309227812822,0.559415700536,0.77027027027,0,0,1,0
PRIMARY_ONLY,JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,RECENT_2024_2026,131,23,0.175572519084,0.373590982287,0.141821705576,0.155432636125,0.148901025854,-0.0438654484281,0.497775657268,0.824427480916,0,0,1,0
PRIMARY_ONLY,T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,ERA_2016_2020,247,98,0.396761133603,0.429872620189,0.366551083961,0.24160464387,0.24160464387,0,0.676531618387,0.603238866397,0,0,1,0
PRIMARY_ONLY,T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,ERA_2021_2023,226,89,0.393805309735,0.408882145493,0.354464114841,0.239930320876,0.239930320876,0,0.672960476863,0.606194690265,0,0,1,0
PRIMARY_ONLY,T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,RECENT_2024_2026,97,37,0.381443298969,0.491891891892,0.377187647626,0.235984708175,0.235984708175,0,0.664851569744,0.618556701031,0,0,1,0
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ERA_2016_2020,247,98,0.396761133603,0.595466374469,0.544069325307,0.290900156778,0.24160464387,-0.204033797188,0.954003778749,0.603238866397,0.5,0.377551020408,0.751677852349,0.43023255814
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ERA_2021_2023,226,89,0.393805309735,0.561387681457,0.447524749331,0.293352708092,0.239930320876,-0.22265792427,0.905341301542,0.592920353982,0.483146067416,0.483146067416,0.664233576642,0.483146067416
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,RECENT_2024_2026,97,37,0.381443298969,0.570720720721,0.484073949824,0.258236774876,0.235984708175,-0.0942945281219,0.749692744353,0.639175257732,0.538461538462,0.378378378378,0.8,0.444444444444
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,ERA_2016_2020,247,98,0.396761133603,0.574099438433,0.53192941596,0.301992015539,0.24160464387,-0.249942926185,0.974029387757,0.591093117409,0.480519480519,0.377551020408,0.731543624161,0.422857142857
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,ERA_2021_2023,226,89,0.393805309735,0.56204379562,0.447387264504,0.292003422082,0.239930320876,-0.217034266511,0.907281201616,0.579646017699,0.46511627907,0.449438202247,0.664233576642,0.457142857143
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,RECENT_2024_2026,97,37,0.381443298969,0.58963963964,0.477881746807,0.24877573954,0.235984708175,-0.0542027975632,0.716132025622,0.60824742268,0.481481481481,0.351351351351,0.766666666667,0.40625
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,ERA_2016_2020,247,98,0.396761133603,0.497671551842,0.398744886154,0.241556913957,0.24160464387,0.000197553789562,0.67643304889,0.603238866397,0,0,1,0
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,ERA_2021_2023,226,89,0.393805309735,0.522348888707,0.407836501963,0.240954316464,0.239930320876,-0.00426788737463,0.675453940387,0.601769911504,0,0,0.992700729927,0
PRIMARY_ONLY,T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,RECENT_2024_2026,97,37,0.381443298969,0.520720720721,0.368390677771,0.233901105813,0.235984708175,0.00882939567322,0.65947477616,0.618556701031,0,0,1,0
PRIMARY_ONLY,T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,ERA_2016_2020,247,98,0.396761133603,0.450486234762,0.357235255183,0.266560651324,0.24160464387,-0.103292747415,0.742137265897,0.566801619433,0.153846153846,0.0204081632653,0.926174496644,0.036036036036
PRIMARY_ONLY,T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,ERA_2021_2023,226,89,0.393805309735,0.500123021406,0.440745144572,0.246621321516,0.239930320876,-0.0278872658328,0.689896490339,0.601769911504,0.478260869565,0.123595505618,0.912408759124,0.196428571429
PRIMARY_ONLY,T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,RECENT_2024_2026,97,37,0.381443298969,0.491891891892,0.495062620817,0.244222818228,0.235984708175,-0.0349095079809,0.687817086517,0.649484536082,1,0.0810810810811,1,0.15
PRIMARY_ONLY,T2_BEFORE_STOP_63,DUMMY_PRIOR,NONE,ERA_2016_2020,247,76,0.307692307692,0.392890120037,0.280059231347,0.215361895904,0.215361895904,0,0.622752747546,0.692307692308,0,0,1,0
PRIMARY_ONLY,T2_BEFORE_STOP_63,DUMMY_PRIOR,NONE,ERA_2021_2023,226,68,0.300884955752,0.308451228593,0.24570329734,0.213915120092,0.213915120092,0,0.619774780625,0.699115044248,0,0,1,0
PRIMARY_ONLY,T2_BEFORE_STOP_63,DUMMY_PRIOR,NONE,RECENT_2024_2026,97,23,0.237113402062,0.5,0.245077674891,0.185902165662,0.185902165662,0,0.560080478492,0.762886597938,0,0,1,0
PRIMARY_ONLY,T2_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ERA_2016_2020,247,76,0.307692307692,0.613419513697,0.502821072889,0.234519452904,0.215361895904,-0.0889551836457,0.91449374598,0.708502024291,0.537037037037,0.381578947368,0.853801169591,0.446153846154
PRIMARY_ONLY,T2_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ERA_2021_2023,226,68,0.300884955752,0.531552494415,0.327623752291,0.26833829902,0.213915120092,-0.254414830074,0.85558896875,0.610619469027,0.327586206897,0.279411764706,0.753164556962,0.301587301587
PRIMARY_ONLY,T2_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,RECENT_2024_2026,97,23,0.237113402062,0.378965922444,0.216206008386,0.245242489976,0.185902165662,-0.319201899032,0.762121187612,0.711340206186,0.222222222222,0.0869565217391,0.905405405405,0.125
PRIMARY_ONLY,T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,ERA_2016_2020,247,76,0.307692307692,0.613188673438,0.49479174158,0.236663767403,0.215361895904,-0.0989119798088,0.913716065074,0.708502024291,0.537037037037,0.381578947368,0.853801169591,0.446153846154
PRIMARY_ONLY,T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,ERA_2021_2023,226,68,0.300884955752,0.534903201787,0.324958411646,0.264230429792,0.213915120092,-0.235211562784,0.84626873671,0.62389380531,0.35593220339,0.308823529412,0.759493670886,0.330708661417
PRIMARY_ONLY,T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,RECENT_2024_2026,97,23,0.237113402062,0.408343125734,0.225102530232,0.235841672015,0.185902165662,-0.268633268339,0.715014856271,0.701030927835,0.25,0.130434782609,0.878378378378,0.171428571429
PRIMARY_ONLY,T2_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,ERA_2016_2020,247,76,0.307692307692,0.412165281625,0.260196387773,0.218547567718,0.215361895904,-0.0147921794644,0.630111025598,0.692307692308,0,0,1,0
PRIMARY_ONLY,T2_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,ERA_2021_2023,226,68,0.300884955752,0.476265822785,0.281048183373,0.215383395164,0.213915120092,-0.00686382090284,0.624868712143,0.699115044248,0,0,1,0
PRIMARY_ONLY,T2_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,RECENT_2024_2026,97,23,0.237113402062,0.495299647474,0.230464847172,0.188302688894,0.185902165662,-0.012912830916,0.564408038203,0.762886597938,0,0,1,0
PRIMARY_ONLY,T2_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,ERA_2016_2020,247,76,0.307692307692,0.412511542013,0.268041294657,0.233432382077,0.215361895904,-0.0839075366507,0.67654283105,0.692307692308,0,0,1,0
PRIMARY_ONLY,T2_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,ERA_2021_2023,226,68,0.300884955752,0.39473194341,0.315886932238,0.230068165402,0.213915120092,-0.07551147064,0.659469466985,0.712389380531,1,0.0441176470588,1,0.0845070422535
PRIMARY_ONLY,T2_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,RECENT_2024_2026,97,23,0.237113402062,0.389541715629,0.337468088728,0.196108303804,0.185902165662,-0.0549005876594,0.59039380485,0.762886597938,0,0,1,0
TRANSFER,ENTRY_FILLED,DUMMY_PRIOR,NONE,ERA_2016_2020,322,250,0.776397515528,0.476444444444,0.762290672148,0.173774650318,0.173774650318,0,0.531934603954,0.776397515528,0.776397515528,1,0,0.874125874126
TRANSFER,ENTRY_FILLED,DUMMY_PRIOR,NONE,ERA_2021_2023,298,228,0.765100671141,0.46719924812,0.752026277653,0.17989344139,0.17989344139,0,0.545616183523,0.765100671141,0.765100671141,1,0,0.866920152091
TRANSFER,ENTRY_FILLED,DUMMY_PRIOR,NONE,RECENT_2024_2026,134,100,0.746268656716,0.648235294118,0.809285673903,0.189405534077,0.189405534077,0,0.566534034539,0.746268656716,0.746268656716,1,0,0.854700854701
TRANSFER,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ERA_2016_2020,322,250,0.776397515528,0.809666666667,0.930197347867,0.127380339408,0.173774650318,0.266979739711,0.406280294161,0.826086956522,0.827702702703,0.98,0.291666666667,0.897435897436
TRANSFER,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ERA_2021_2023,298,228,0.765100671141,0.786466165414,0.90934810353,0.139465233146,0.17989344139,0.224734197821,0.443292131142,0.812080536913,0.861344537815,0.899122807018,0.528571428571,0.87982832618
TRANSFER,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,RECENT_2024_2026,134,100,0.746268656716,0.762941176471,0.885003516396,0.15616604824,0.189405534077,0.175493741507,0.48581739743,0.768656716418,0.805309734513,0.91,0.352941176471,0.854460093897
