Target,Evaluation Year,Model Variant,Feature Set,Training Rows,Training Positives,Training Negatives,Training Prevalence,Evaluation Scored Rows,Raw Feature Count,Encoded Feature Count,Fit Seconds,Prediction Seconds,Warnings,Convergence Status,Random Seed,Training Mode
ENTRY_FILLED,2022,RF_FULL,FS3_FULL_SIGNAL_STATE,759,587,172,0.773386034256,113,97,109,1.0981772,0.0420840999977,,CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2023,DUMMY_PRIOR,NONE,870,673,197,0.773563218391,82,0,0,3.99999407819e-07,9.10000017029e-06,,NOT_APPLICABLE,42,PRIMARY_ONLY
ENTRY_FILLED,2023,LOGIT_RULE,FS1_RULE_SUMMARY,870,673,197,0.773563218391,82,5,8,0.0170509999989,0.0075997999993,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2023,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,870,673,197,0.773563218391,82,92,101,0.0459871000021,0.0100033000017,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2023,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,870,673,197,0.773563218391,82,97,109,0.056267400003,0.010194800001,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2023,RF_FULL,FS3_FULL_SIGNAL_STATE,870,673,197,0.773563218391,82,97,109,1.2284785,0.0384249999988,,CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2024,DUMMY_PRIOR,NONE,953,739,214,0.775445960126,48,0,0,3.99999407819e-07,8.60000000102e-06,,NOT_APPLICABLE,42,PRIMARY_ONLY
ENTRY_FILLED,2024,LOGIT_RULE,FS1_RULE_SUMMARY,953,739,214,0.775445960126,48,5,8,0.0164489999988,0.00734229999944,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2024,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,953,739,214,0.775445960126,48,92,101,0.0540249000005,0.00964979999844,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
ENTRY_FILLED,2024,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,953,739,214,0.775445960126,48,97,109,0.0574000000015,0.0105498999983,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42,PRIMARY_ONLY
