Mode,Target,Model Variant,Feature Set,Scope,Rows,Overall Success Rate,Top 10% Rows,Top 10% Success Rate,Top 10% Lift,Top 20% Rows,Top 20% Success Rate,Top 20% Lift,Bottom 20% Rows,Bottom 20% Success Rate,Bottom 20% Lift
TRANSFER,JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,POOLED_2016_2026,746,0.300268096515,75,0.186666666667,0.621666666667,150,0.213333333333,0.710476190476,150,0.413333333333,1.37654761905
TRANSFER,JOINT_T1,RF_FULL,FS3_FULL_SIGNAL_STATE,POOLED_2016_2026,746,0.300268096515,75,0.293333333333,0.976904761905,150,0.313333333333,1.04351190476,150,0.246666666667,0.821488095238
TRANSFER,JOINT_T2,DUMMY_PRIOR,NONE,POOLED_2016_2026,746,0.223860589812,75,0.213333333333,0.952974051896,150,0.18,0.804071856287,150,0.26,1.16143712575
TRANSFER,JOINT_T2,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,POOLED_2016_2026,746,0.223860589812,75,0.173333333333,0.774291417166,150,0.186666666667,0.833852295409,150,0.153333333333,0.6849500998
TRANSFER,JOINT_T2,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,POOLED_2016_2026,746,0.223860589812,75,0.2,0.893413173653,150,0.18,0.804071856287,150,0.126666666667,0.565828343313
TRANSFER,JOINT_T2,LOGIT_RULE,FS1_RULE_SUMMARY,POOLED_2016_2026,746,0.223860589812,75,0.226666666667,1.01253493014,150,0.2,0.893413173653,150,0.233333333333,1.04231536926
TRANSFER,JOINT_T2,RF_FULL,FS3_FULL_SIGNAL_STATE,POOLED_2016_2026,746,0.223860589812,75,0.2,0.893413173653,150,0.206666666667,0.923193612774,150,0.186666666667,0.833852295409
TRANSFER,T1_BEFORE_STOP_63,DUMMY_PRIOR,NONE,POOLED_2016_2026,570,0.39298245614,57,0.368421052632,0.9375,114,0.333333333333,0.848214285714,114,0.377192982456,0.959821428571
TRANSFER,T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,POOLED_2016_2026,570,0.39298245614,57,0.473684210526,1.20535714286,114,0.438596491228,1.11607142857,114,0.377192982456,0.959821428571
TRANSFER,T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,POOLED_2016_2026,570,0.39298245614,57,0.473684210526,1.20535714286,114,0.412280701754,1.04910714286,114,0.342105263158,0.870535714286
TRANSFER,T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,POOLED_2016_2026,570,0.39298245614,57,0.157894736842,0.401785714286,114,0.210526315789,0.535714285714,114,0.552631578947,1.40625
