Block Length,Mode,Target,Model Variant,Feature Set,Scope,Metric,Valid Replicates,2.5%,Median,97.5%
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,RECENT_2024_2026,Brier Skill Score vs Training Prior,2000,0,0,0
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,RECENT_2024_2026,Log Loss,2000,0.488154470298,0.592438794096,0.71273844107
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,RECENT_2024_2026,Accuracy at 0.50,2000,0.632352941176,0.728571428571,0.811594202899
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,RECENT_2024_2026,Precision at 0.50,2000,0.632352941176,0.728571428571,0.811594202899
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,RECENT_2024_2026,Recall at 0.50,2000,1,1,1
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,RECENT_2024_2026,Specificity at 0.50,2000,0,0,0
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,RECENT_2024_2026,F1 at 0.50,2000,0.774774774775,0.842975206612,0.896
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,RECENT_2024_2026,Top 10% Rows,2000,14,14,15
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,RECENT_2024_2026,Top 10% Success Rate,2000,0.285714285714,0.428571428571,0.642857142857
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,RECENT_2024_2026,Top 10% Lift,2000,0.443349753695,0.6,0.827380952381
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,RECENT_2024_2026,Top 20% Rows,2000,27,28,29
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,RECENT_2024_2026,Top 20% Success Rate,2000,0.413793103448,0.5,0.714285714286
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,RECENT_2024_2026,Top 20% Lift,2000,0.603800140746,0.702343868089,0.892857142857
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,RECENT_2024_2026,Bottom 20% Rows,2000,27,28,29
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,RECENT_2024_2026,Bottom 20% Success Rate,2000,0.724137931034,0.892857142857,0.931034482759
63,PRIMARY_ONLY,ENTRY_FILLED,DUMMY_PRIOR,NONE,RECENT_2024_2026,Bottom 20% Lift,2000,1.05612244898,1.20699708455,1.34954627949
63,PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,ERA_2016_2020,Rows,2000,312,323,335
