Diagnostic,Feature,Era,Rows,Median,Q25,Q75,Mean,Std
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Daily ST Direction,2021-2023,14079,1,-1,1,0.0310391363023,0.999553668594
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Daily ST Direction,2024-2026,12483,1,-1,1,0.138508371385,0.990400933685
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Distance SMA20 %,2011-2015,18936,0.541984928591,-1.38027344708,2.21249139886,0.427172540813,2.57232634381
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Distance SMA20 %,2016-2020,22583,0.776879378261,-0.640984124582,2.00060360064,0.458947454412,3.02307200274
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Distance SMA20 %,2021-2023,14079,0.561839036252,-0.851271627123,2.3565644268,0.580795955644,2.24456562194
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Distance SMA20 %,2024-2026,12483,0.392466443279,-1.03767880572,1.44648567068,0.191063283392,1.85685015838
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Distance SMA200 %,2011-2015,18936,3.54437528177,-1.04588365188,9.18522059,3.82766219979,7.49748624812
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Distance SMA200 %,2016-2020,22583,4.4499743831,-0.164031820081,7.53113601236,3.17921518196,7.80590524902
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Distance SMA200 %,2021-2023,14079,5.97983388453,2.56331068935,12.1719014456,7.19681698841,7.90801464346
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Distance SMA200 %,2024-2026,12483,3.45969257255,-1.88004415956,8.20005571323,3.25220923669,5.9742405455
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Distance SMA50 %,2011-2015,18936,1.16784158285,-1.62707440925,3.57870203336,0.972482051781,3.76902670452
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Distance SMA50 %,2016-2020,22583,1.90422619248,-0.653466286377,3.70760242256,1.1227102931,4.98589024694
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Distance SMA50 %,2021-2023,14079,1.49469308672,-1.02165995654,4.13070376659,1.49354499563,3.56654150664
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Distance SMA50 %,2024-2026,12483,0.762455879484,-0.9994288074,2.5171233381,0.622745073601,2.88421919864
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Drawdown From 252D High %,2011-2015,18936,-4.71049589188,-10.0494977789,-1.49809905757,-6.48091191781,6.11965475213
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Drawdown From 252D High %,2016-2020,22583,-4.00751292041,-8.84382212016,-1.01707977631,-6.10023153312,6.69336154855
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Drawdown From 252D High %,2021-2023,14079,-3.23643547901,-6.19822943368,-0.914383869348,-4.0791976166,3.79828706688
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Drawdown From 252D High %,2024-2026,12483,-4.62693641434,-8.39108091575,-1.22572915938,-5.12663628231,4.17831406181
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Feature Source Date,2011-2015,18936,1.383048e+15,1.3491792e+15,1.4175864e+15,1.38325595133e+15,3.94467467537e+13
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Feature Source Date,2016-2020,22583,1.531872e+15,1.4920416e+15,1.5717024e+15,1.5316499111e+15,4.57282265904e+13
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Feature Source Date,2021-2023,14079,1.6565472e+15,1.6330464e+15,1.6799616e+15,1.65663628178e+15,2.72094946827e+13
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Feature Source Date,2024-2026,12483,1.7464032e+15,1.7253216e+15,1.7669664e+15,1.74608692603e+15,2.42312204225e+13
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Market Score,2011-2015,18936,70,40,95,63.1796577947,31.0416832668
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Market Score,2016-2020,22583,80,50,95,68.9383607138,29.9471992748
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Market Score,2021-2023,14079,80,50,95,70.3238866397,27.6317223684
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Market Score,2024-2026,12483,70,40,90,62.9375951294,30.6991103759
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Return 20D %,2011-2015,18936,0.753826569948,-2.32766257587,4.21712986002,0.922220123316,4.60788934633
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Return 20D %,2016-2020,22583,1.44217594856,-1.0156345499,4.01112901406,1.06870351735,5.3636119433
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Return 20D %,2021-2023,14079,1.1681690558,-1.74555432649,4.1940799516,1.28288267761,4.04010242944
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Return 20D %,2024-2026,12483,0.721742635964,-1.07207232083,2.4519446014,0.484377880482,3.25004666682
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Return 5D %,2011-2015,18936,0.295547892485,-1.4256383825,1.97943097852,0.259851932233,2.40136193624
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Return 5D %,2016-2020,22583,0.427742092999,-0.918811054912,1.5603263335,0.264008162915,2.55894010693
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Return 5D %,2021-2023,14079,0.452772588041,-0.86577059011,1.64518334018,0.318493307395,2.05190112082
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Return 5D %,2024-2026,12483,0.0832507538723,-0.994460125105,1.25316417202,0.103757973566,1.8309259539
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Return 60D %,2011-2015,18936,2.72843141744,-2.39825385639,7.2239739892,2.49138824265,6.88783114545
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Return 60D %,2016-2020,22583,4.16094830022,-1.94577003688,8.07369078554,2.77839997664,9.5115078579
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Return 60D %,2021-2023,14079,4.26681419718,-1.25162856773,8.40927506976,4.02018335934,6.96524172102
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Return 60D %,2024-2026,12483,2.10318504018,-2.4615535312,6.43945403546,1.86655864443,6.01516618472
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Rolling Volatility 20D %,2011-2015,18936,14.8606808595,12.4911909537,18.2069294896,15.9980709396,5.23549162945
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Rolling Volatility 20D %,2016-2020,22583,12.4092165923,9.74715113833,15.6527458935,14.8559844805,10.6651317149
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Rolling Volatility 20D %,2021-2023,14079,12.0485310979,9.31936820765,17.3791503877,13.6629228741,5.4407529053
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY Rolling Volatility 20D %,2024-2026,12483,11.5793506086,9.43986582118,14.1435281638,12.7082966646,5.10998747302
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY SMA20,2011-2015,18936,6072.38997803,5479.04875488,7955.81373901,6568.60499367,1288.51634711
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY SMA20,2016-2020,22583,10445.2799805,8980.14746094,11314.5849121,10181.3088691,1415.33167336
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY SMA20,2021-2023,14079,17458.0874023,16198.5924316,18142.0350586,17286.6640078,1563.90629935
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY SMA20,2024-2026,12483,24193.0550781,23254.3150391,24991.7173828,24071.979835,1221.19716564
DESCRIPTIVE DRIFT DIAGNOSTIC,NIFTY SMA200,2011-2015,18936,5853.7075,5371.30599915,7408.53913818,6350.32457748,1175.73902789
