Target,Model Variant,Feature Set,Scope Type,Scope,Rows,Positive Count,Prevalence,ROC AUC,Average Precision,Brier Score,Brier Benchmark Score,Brier Skill Score vs Training Prior,Log Loss,Accuracy at 0.50,Precision at 0.50,Recall at 0.50,Specificity at 0.50,F1 at 0.50
JOINT_T1,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,EVALUATION_YEAR,2026,260,101,0.388461538462,0.677813064325,0.599239336783,0.215475523097,0.23869290903,0.097268854896,0.620845858875,0.653846153846,0.634146341463,0.257425742574,0.905660377358,0.366197183099
JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,EVALUATION_YEAR,2016,525,224,0.426666666667,0.684600439013,0.566502170593,0.228409904072,0.244728324861,0.0666797388397,0.649214183934,0.653333333333,0.619318181818,0.486607142857,0.777408637874,0.545
JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,EVALUATION_YEAR,2017,1214,672,0.553542009885,0.634115269724,0.654068066611,0.246595878112,0.26152861493,0.0570979080895,0.687065510833,0.563426688633,0.650423728814,0.456845238095,0.69557195572,0.536713286713
JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,EVALUATION_YEAR,2018,789,291,0.368821292776,0.679049531459,0.527355712998,0.221363162025,0.241473613543,0.0832821906394,0.633830036674,0.63371356147,0.502688172043,0.642611683849,0.628514056225,0.564102564103
JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,EVALUATION_YEAR,2019,732,246,0.33606557377,0.557717722239,0.354272055283,0.232920541376,0.235682545959,0.0117191732315,0.65727910494,0.569672131148,0.383050847458,0.459349593496,0.625514403292,0.417744916821
JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,EVALUATION_YEAR,2020,760,360,0.473684210526,0.54928125,0.501765389703,0.252694511113,0.250542766675,-0.00858833191041,0.699858545696,0.530263157895,0.504885993485,0.430555555556,0.62,0.464767616192
JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,EVALUATION_YEAR,2021,1407,572,0.406538734897,0.620188643692,0.525375647871,0.233896719207,0.242347013554,0.03486857223,0.660367077425,0.609097370291,0.52037037037,0.491258741259,0.689820359281,0.505395683453
JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,EVALUATION_YEAR,2022,895,277,0.309497206704,0.60545254869,0.411580689133,0.222887818094,0.22962486281,0.0293393521685,0.636996109187,0.641340782123,0.423076923077,0.436823104693,0.733009708738,0.429840142096
JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,EVALUATION_YEAR,2023,1024,423,0.4130859375,0.60937051329,0.509613731932,0.236273964333,0.242594435205,0.0260536515029,0.665853290642,0.6103515625,0.545454545455,0.340425531915,0.800332778702,0.419213973799
JOINT_T1,LOGIT_RULE,FS1_RULE_SUMMARY,EVALUATION_YEAR,2024,1149,468,0.407310704961,0.556816898227,0.442612259175,0.240638268538,0.241706578587,0.00441986335202,0.673667652568,0.572671888599,0.462295081967,0.301282051282,0.759177679883,0.364812419146
