Target,Evaluation Year,Model Variant,Feature Set,Training Rows,Training Positives,Training Negatives,Training Prevalence,Evaluation Scored Rows,Raw Feature Count,Encoded Feature Count,Fit Seconds,Prediction Seconds,Warnings,Convergence Status,Random Seed
ENTRY_FILLED,2021,LOGIT_RULE,FS1_RULE_SUMMARY,8036,6229,1807,0.775136884022,1409,5,15,0.0172968999832,0.00406390003627,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
ENTRY_FILLED,2021,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,8036,6229,1807,0.775136884022,1409,92,107,0.317026500008,0.00772589998087,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
ENTRY_FILLED,2021,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,8036,6229,1807,0.775136884022,1409,97,122,0.448838200013,0.0127245999756,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
ENTRY_FILLED,2021,RF_FULL,FS3_FULL_SIGNAL_STATE,8036,6229,1807,0.775136884022,1409,97,122,8.4424609,0.0495804999955,,CONVERGED,42
ENTRY_FILLED,2022,DUMMY_PRIOR,NONE,9474,7294,2180,0.769896559004,896,0,0,4.00003045797e-07,6.99999509379e-06,,NOT_APPLICABLE,42
ENTRY_FILLED,2022,LOGIT_RULE,FS1_RULE_SUMMARY,9474,7294,2180,0.769896559004,896,5,15,0.027258999995,0.00597520003794,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
ENTRY_FILLED,2022,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,9474,7294,2180,0.769896559004,896,92,107,0.707326499978,0.00734660000307,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
ENTRY_FILLED,2022,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,9474,7294,2180,0.769896559004,896,97,122,0.706232499972,0.00732780003455,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
ENTRY_FILLED,2022,RF_FULL,FS3_FULL_SIGNAL_STATE,9474,7294,2180,0.769896559004,896,97,122,9.19599520002,0.0456218000036,,CONVERGED,42
ENTRY_FILLED,2023,DUMMY_PRIOR,NONE,10367,7963,2404,0.76811035015,1025,0,0,3.00002284348e-07,7.39999813959e-06,,NOT_APPLICABLE,42
ENTRY_FILLED,2023,LOGIT_RULE,FS1_RULE_SUMMARY,10367,7963,2404,0.76811035015,1025,5,15,0.0226877999958,0.00462359999074,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
ENTRY_FILLED,2023,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,10367,7963,2404,0.76811035015,1025,92,107,0.584071299993,0.0128003999707,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
ENTRY_FILLED,2023,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,10367,7963,2404,0.76811035015,1025,97,122,0.780273299955,0.00806700001704,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
ENTRY_FILLED,2023,RF_FULL,FS3_FULL_SIGNAL_STATE,10367,7963,2404,0.76811035015,1025,97,122,7.99964170001,0.0372491999879,,CONVERGED,42
ENTRY_FILLED,2024,DUMMY_PRIOR,NONE,11372,8694,2678,0.76450932114,1150,0,0,7.00005330145e-07,6.79999357089e-06,,NOT_APPLICABLE,42
ENTRY_FILLED,2024,LOGIT_RULE,FS1_RULE_SUMMARY,11372,8694,2678,0.76450932114,1150,5,15,0.0218280000263,0.00412599998526,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
ENTRY_FILLED,2024,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,11372,8694,2678,0.76450932114,1150,92,107,0.667695400014,0.00766259996453,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
ENTRY_FILLED,2024,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,11372,8694,2678,0.76450932114,1150,97,122,1.02878320002,0.00913560000481,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
ENTRY_FILLED,2024,RF_FULL,FS3_FULL_SIGNAL_STATE,11372,8694,2678,0.76450932114,1150,97,122,9.20280640002,0.0424235999817,,CONVERGED,42
ENTRY_FILLED,2025,DUMMY_PRIOR,NONE,12541,9556,2985,0.761980703293,688,0,0,4.00003045797e-07,9.50001413003e-06,,NOT_APPLICABLE,42
ENTRY_FILLED,2025,LOGIT_RULE,FS1_RULE_SUMMARY,12541,9556,2985,0.761980703293,688,5,15,0.0253083999851,0.00401970004896,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
ENTRY_FILLED,2025,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,12541,9556,2985,0.761980703293,688,92,107,0.817410999967,0.00697230000515,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
ENTRY_FILLED,2025,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,12541,9556,2985,0.761980703293,688,97,122,0.970706699998,0.00820280000335,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
ENTRY_FILLED,2025,RF_FULL,FS3_FULL_SIGNAL_STATE,12541,9556,2985,0.761980703293,688,97,122,9.56979029998,0.0320486000273,,CONVERGED,42
ENTRY_FILLED,2026,DUMMY_PRIOR,NONE,13226,10089,3137,0.762815666112,311,0,0,2.00001522899e-07,6.79999357089e-06,,NOT_APPLICABLE,42
ENTRY_FILLED,2026,LOGIT_RULE,FS1_RULE_SUMMARY,13226,10089,3137,0.762815666112,311,5,15,0.0263474999811,0.00391520000994,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
ENTRY_FILLED,2026,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,13226,10089,3137,0.762815666112,311,92,107,0.882043299964,0.00556700001471,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
ENTRY_FILLED,2026,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,13226,10089,3137,0.762815666112,311,97,122,1.04106740002,0.0061952000251,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
ENTRY_FILLED,2026,RF_FULL,FS3_FULL_SIGNAL_STATE,13226,10089,3137,0.762815666112,311,97,122,10.1738754,0.0273327999748,,CONVERGED,42
T1_BEFORE_STOP_63,2016,DUMMY_PRIOR,NONE,3151,1747,1404,0.554427165979,529,0,0,2.99944076687e-07,6.40004873276e-06,,NOT_APPLICABLE,42
T1_BEFORE_STOP_63,2016,LOGIT_RULE,FS1_RULE_SUMMARY,3151,1747,1404,0.554427165979,529,5,15,0.0123084000079,0.00342869997257,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
T1_BEFORE_STOP_63,2016,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,3151,1747,1404,0.554427165979,529,92,107,0.111306199979,0.00614579999819,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
T1_BEFORE_STOP_63,2016,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,3151,1747,1404,0.554427165979,529,97,122,0.125642500003,0.00676840002416,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
T1_BEFORE_STOP_63,2016,RF_FULL,FS3_FULL_SIGNAL_STATE,3151,1747,1404,0.554427165979,529,97,122,2.09990490001,0.0271072000032,,CONVERGED,42
T1_BEFORE_STOP_63,2017,DUMMY_PRIOR,NONE,3539,1962,1577,0.554393896581,1219,0,0,2.00001522899e-07,6.3999905251e-06,,NOT_APPLICABLE,42
T1_BEFORE_STOP_63,2017,LOGIT_RULE,FS1_RULE_SUMMARY,3539,1962,1577,0.554393896581,1219,5,15,0.0123912999989,0.00457520002965,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
T1_BEFORE_STOP_63,2017,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,3539,1962,1577,0.554393896581,1219,92,107,0.128213400021,0.00839480001014,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
T1_BEFORE_STOP_63,2017,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,3539,1962,1577,0.554393896581,1219,97,122,0.133933500038,0.0086711999611,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
T1_BEFORE_STOP_63,2017,RF_FULL,FS3_FULL_SIGNAL_STATE,3539,1962,1577,0.554393896581,1219,97,122,2.33208309999,0.0344608000014,,CONVERGED,42
T1_BEFORE_STOP_63,2018,DUMMY_PRIOR,NONE,4485,2628,1857,0.585953177258,790,0,0,3.00002284348e-07,6.09998824075e-06,,NOT_APPLICABLE,42
T1_BEFORE_STOP_63,2018,LOGIT_RULE,FS1_RULE_SUMMARY,4485,2628,1857,0.585953177258,790,5,15,0.0140653999988,0.00367810000898,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
T1_BEFORE_STOP_63,2018,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,4485,2628,1857,0.585953177258,790,92,107,0.169999099977,0.00699820002774,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
T1_BEFORE_STOP_63,2018,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,4485,2628,1857,0.585953177258,790,97,122,0.290075899975,0.0127806999953,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
T1_BEFORE_STOP_63,2018,RF_FULL,FS3_FULL_SIGNAL_STATE,4485,2628,1857,0.585953177258,790,97,122,3.1355259,0.0314922000398,,CONVERGED,42
T1_BEFORE_STOP_63,2019,DUMMY_PRIOR,NONE,5093,2912,2181,0.571765167877,735,0,0,3.00002284348e-07,8.10000346974e-06,,NOT_APPLICABLE,42
T1_BEFORE_STOP_63,2019,LOGIT_RULE,FS1_RULE_SUMMARY,5093,2912,2181,0.571765167877,735,5,15,0.0139974000049,0.00359659997048,"FutureWarning: 'penalty' was deprecated in version 1.8 and will be removed in 1.10. To avoid this warning, leave 'penalty' set to its default value and use 'l1_ratio' or 'C' instead. Use l1_ratio=0 instead of penalty='l2', l1_ratio=1 instead of penalty='l1', l1_ratio set to a float between 0 and 1 instead of penalty='elasticnet', and C=np.inf instead of penalty=None.",CONVERGED,42
