Target,Model Variant,Feature Set,Bucket,Rows,Mean Predicted Probability,Observed Success Rate,Calibration Error
T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,0.9-1.0,0,,,
T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,0.0-0.1,6,0.0935649921088,0.333333333333,0.239768341225
T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,0.1-0.2,352,0.162187392421,0.474431818182,0.312244425761
T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,0.2-0.3,1104,0.254789890859,0.545289855072,0.290499964213
T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,0.3-0.4,1738,0.34975382122,0.522439585731,0.17268576451
T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,0.4-0.5,1560,0.448122275209,0.528205128205,0.0800828529965
T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,0.5-0.6,1238,0.544484036538,0.571082390953,0.0265983544148
T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,0.6-0.7,699,0.643797350851,0.612303290415,0.0314940604362
T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,0.7-0.8,357,0.738830028226,0.689075630252,0.0497543979735
T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,0.8-0.9,39,0.820897478939,0.794871794872,0.0260256840675
T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,0.9-1.0,0,,,
T2_BEFORE_STOP_63,DUMMY_PRIOR,NONE,0.0-0.1,0,,,
T2_BEFORE_STOP_63,DUMMY_PRIOR,NONE,0.1-0.2,0,,,
T2_BEFORE_STOP_63,DUMMY_PRIOR,NONE,0.2-0.3,0,,,
T2_BEFORE_STOP_63,DUMMY_PRIOR,NONE,0.3-0.4,7088,0.34116700899,0.325338600451,0.0158284085388
T2_BEFORE_STOP_63,DUMMY_PRIOR,NONE,0.4-0.5,0,,,
T2_BEFORE_STOP_63,DUMMY_PRIOR,NONE,0.5-0.6,0,,,
T2_BEFORE_STOP_63,DUMMY_PRIOR,NONE,0.6-0.7,0,,,
T2_BEFORE_STOP_63,DUMMY_PRIOR,NONE,0.7-0.8,0,,,
T2_BEFORE_STOP_63,DUMMY_PRIOR,NONE,0.8-0.9,0,,,
T2_BEFORE_STOP_63,DUMMY_PRIOR,NONE,0.9-1.0,0,,,
T2_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.0-0.1,1300,0.0534434372062,0.261538461538,0.208095024332
T2_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.1-0.2,1577,0.152271477971,0.320228281547,0.167956803576
T2_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.2-0.3,1541,0.248877437067,0.328358208955,0.0794807718881
T2_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.3-0.4,1074,0.345642373411,0.312849162011,0.0327932114002
T2_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.4-0.5,743,0.445529925668,0.336473755047,0.109056170621
T2_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.5-0.6,450,0.545579996075,0.406666666667,0.138913329408
T2_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.6-0.7,230,0.645430755524,0.417391304348,0.228039451176
T2_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.7-0.8,121,0.741836294037,0.520661157025,0.221175137012
T2_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.8-0.9,34,0.843876020027,0.441176470588,0.402699549439
T2_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,0.9-1.0,18,0.944589330088,0.666666666667,0.277922663422
T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.0-0.1,1305,0.0536701050388,0.272796934866,0.219126829827
T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.1-0.2,1527,0.151869326926,0.316306483301,0.164437156375
T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.2-0.3,1601,0.248113567015,0.316052467208,0.067938900193
T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.3-0.4,1102,0.346794409281,0.325771324864,0.0210230844172
T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.4-0.5,718,0.446134101386,0.345403899721,0.100730201665
T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.5-0.6,436,0.546356090772,0.383027522936,0.163328567836
T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.6-0.7,225,0.646441994257,0.448888888889,0.197553105368
T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.7-0.8,117,0.743532898731,0.504273504274,0.239259394457
T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.8-0.9,40,0.836089577125,0.4,0.436089577125
T2_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,0.9-1.0,17,0.943400573581,0.647058823529,0.296341750051
T2_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,0.0-0.1,0,,,
T2_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,0.1-0.2,102,0.145548408695,0.147058823529,0.00151041483426
T2_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,0.2-0.3,764,0.277625192569,0.312827225131,0.0352020325618
T2_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,0.3-0.4,5534,0.345945256581,0.329779544633,0.0161657119476
