Target,Model Variant,Feature Set,Scope,Bucket,Rows,Success Rate,Overall Base Rate,Lift
T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2021-2023,TOP_10_PERCENT,247,0.720647773279,0.515605999189,1.39767142821
T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2021-2023,TOP_20_PERCENT,494,0.647773279352,0.515605999189,1.25633386805
T1_BEFORE_STOP_63,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,2021-2023,BOTTOM_20_PERCENT,494,0.366396761134,0.515605999189,0.710613844117
T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2021-2023,TOP_10_PERCENT,247,0.7004048583,0.515605999189,1.35841099483
T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2021-2023,TOP_20_PERCENT,494,0.637651821862,0.515605999189,1.23670365136
T1_BEFORE_STOP_63,LOGIT_RAW,FS2_RAW_SIGNAL_STATE,2021-2023,BOTTOM_20_PERCENT,494,0.37044534413,0.515605999189,0.718465930792
T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,2021-2023,TOP_10_PERCENT,247,0.757085020243,0.515605999189,1.46834020829
T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,2021-2023,TOP_20_PERCENT,494,0.702429149798,0.515605999189,1.36233703817
T1_BEFORE_STOP_63,LOGIT_RULE,FS1_RULE_SUMMARY,2021-2023,BOTTOM_20_PERCENT,494,0.410931174089,0.515605999189,0.796986797545
T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,2021-2023,TOP_10_PERCENT,247,0.607287449393,0.515605999189,1.1778130013
T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,2021-2023,TOP_20_PERCENT,494,0.560728744939,0.515605999189,1.08751400453
T1_BEFORE_STOP_63,RF_FULL,FS3_FULL_SIGNAL_STATE,2021-2023,BOTTOM_20_PERCENT,494,0.455465587045,0.515605999189,0.883359750974
T2_BEFORE_STOP_63,DUMMY_PRIOR,NONE,2021-2023,TOP_10_PERCENT,247,0.182186234818,0.311714633158,0.584464813128
T2_BEFORE_STOP_63,DUMMY_PRIOR,NONE,2021-2023,TOP_20_PERCENT,494,0.198380566802,0.311714633158,0.636417240962
