Policy,Comparator,Block Length,Metric,Delta 2.5%,Delta Median,Delta 97.5%,P(Delta>0) %
R4_K2,R0_K2,63,Maximum Drawdown %,-3.53882190415,-0.597593402779,1.17385527903,26.35
R4_K2,R0_K2,63,Average Exposure %,-0.353630932306,-0.00945355237781,0.31657084771,47.8
R4_K2,R0_K2,126,Terminal Return %,-9.00770447275,-2.36155668974,4.27961429892,24.8
R4_K2,R0_K2,126,CAGR %,-0.716561953598,-0.185952066488,0.321435007163,24.8
R4_K2,R0_K2,126,Mean Daily Return %,-0.00282549284184,-0.000716805408971,0.00125240008935,24.85
R4_K2,R0_K2,126,Annualized Volatility %,-0.0270730748906,0.0319143102159,0.12773522904,82
R4_K2,R0_K2,126,Maximum Drawdown %,-4.27740313259,-0.875428335716,0.888342649976,22.2
R4_K2,R0_K2,126,Average Exposure %,-0.36407327672,-0.011665044325,0.316562220748,46.65
R5_K1,R0_K1,21,Terminal Return %,-11.3265057165,1.56329706461,15.9914875646,58.35
R5_K1,R0_K1,21,CAGR %,-0.970479332369,0.131447308711,1.30265015964,58.35
R5_K1,R0_K1,21,Mean Daily Return %,-0.00379680833695,0.000536746548263,0.0051366907408,58.6
R5_K1,R0_K1,21,Annualized Volatility %,-0.0447920575346,0.156610751786,0.414329838836,92.85
R5_K1,R0_K1,21,Maximum Drawdown %,-4.76423980986,-0.161957072737,4.23126136841,45.95
R5_K1,R0_K1,21,Average Exposure %,-0.670861571782,-0.0977288777291,0.490858442568,35.95
R5_K1,R0_K1,63,Terminal Return %,-12.2313906763,1.22650598429,15.7866422454,57.6
R5_K1,R0_K1,63,CAGR %,-0.991119523382,0.101961709543,1.21730350745,57.6
R5_K1,R0_K1,63,Mean Daily Return %,-0.00390387568838,0.000429512043466,0.00479466758418,57.8
R5_K1,R0_K1,63,Annualized Volatility %,-0.0500347612715,0.154390603217,0.408739185805,91.9
R5_K1,R0_K1,63,Maximum Drawdown %,-5.54729325694,-0.314703275491,4.03091305282,41
R5_K1,R0_K1,63,Average Exposure %,-0.700963027202,-0.104506814308,0.504629863298,38.25
R5_K1,R0_K1,126,Terminal Return %,-12.3354315363,1.11871927531,15.4195880393,56.1
R5_K1,R0_K1,126,CAGR %,-1.04235995892,0.0918314063559,1.19374217407,56.1
R5_K1,R0_K1,126,Mean Daily Return %,-0.00408974464206,0.000380675204148,0.0047207131583,56.4
R5_K1,R0_K1,126,Annualized Volatility %,-0.0440484411899,0.149926597774,0.386644808772,92.95
R5_K1,R0_K1,126,Maximum Drawdown %,-6.30822619039,-0.859291760868,3.31647555786,32.45
R5_K1,R0_K1,126,Average Exposure %,-0.704557384906,-0.114462748664,0.421305770951,33.45
R5_K2,R0_K2,21,Terminal Return %,-4.91937287188,-1.52990885256,2.19815564542,18.85
R5_K2,R0_K2,21,CAGR %,-0.392939615177,-0.122187057902,0.168862166584,18.85
R5_K2,R0_K2,21,Mean Daily Return %,-0.00151874055164,-0.000467596336631,0.000665413002827,19.25
R5_K2,R0_K2,21,Annualized Volatility %,0.00219220759749,0.0617461603811,0.144967021997,98
R5_K2,R0_K2,21,Maximum Drawdown %,-1.94878693881,-0.313999246732,0.551813757353,25.8
R5_K2,R0_K2,21,Average Exposure %,-0.0366078303203,0.182220142975,0.52350736981,93.35
R5_K2,R0_K2,63,Terminal Return %,-4.5900120455,-1.25887098817,1.34289213424,18.3
R5_K2,R0_K2,63,CAGR %,-0.355668896029,-0.10039262223,0.101299922154,18.3
R5_K2,R0_K2,63,Mean Daily Return %,-0.00137868939672,-0.000381059792713,0.000393807148057,18.8
R5_K2,R0_K2,63,Annualized Volatility %,-0.00301284222634,0.0594449232799,0.154480888185,96.8
R5_K2,R0_K2,63,Maximum Drawdown %,-1.98465409944,-0.300880155783,0.42056023656,27.05
R5_K2,R0_K2,63,Average Exposure %,-0.0545109487883,0.19193210868,0.555839871069,90.15
R5_K2,R0_K2,126,Terminal Return %,-5.02332875511,-1.29291552765,1.04480012549,16.7
R5_K2,R0_K2,126,CAGR %,-0.378511050808,-0.103567273202,0.0814690211281,16.7
R5_K2,R0_K2,126,Mean Daily Return %,-0.00144456627834,-0.000392791199227,0.000321266039469,17
R5_K2,R0_K2,126,Annualized Volatility %,-0.00473120040974,0.0598791099723,0.160160548261,96.05
R5_K2,R0_K2,126,Maximum Drawdown %,-2.01856666665,-0.382991565665,0.422995320932,23.7
R5_K2,R0_K2,126,Average Exposure %,-0.0413991047013,0.198295473624,0.537583563847,91.8
