Start Equity,End Equity,Return %,CAGR %,Trades,Win Rate %,Expectancy R,Profit Factor,Average Exposure %,Max Drawdown %,Policy,Year,Return >= R0
102261.856893,101232.337992,-1.0067477093,-1.01018742602,24,20.8333333333,-0.0181642070154,1.02688400962,8.80416892913,-4.90414637708,R0_K1,2018,
101232.337992,105737.041361,4.44986598027,4.46548334205,24,37.5,0.294240238128,2.24166551536,13.7740527738,-2.37205668449,R0_K1,2019,
105737.041361,105115.871138,-0.587466998477,-0.587868188093,22,22.7272727273,-0.056660008083,0.886041206696,7.90122168243,-4.96520411057,R0_K1,2020,
105115.871138,117167.884036,11.4654549951,11.507011387,30,36.6666666667,0.546014895091,2.96626868574,15.2270560459,-3.14709502807,R0_K1,2021,
117167.884036,111626.461467,-4.72947225602,-4.78379821065,32,12.5,-0.310310905418,0.436972289841,8.62829006366,-7.05444540711,R0_K1,2022,
111626.461467,115580.937839,3.54259762365,3.58504297695,29,31.0344827586,0.2085057593,1.71826966035,13.7512945926,-3.02326608011,R0_K1,2023,
115580.937839,118145.352217,2.21871739978,2.22025381605,21,23.8095238095,0.126103758637,1.4679100487,8.15867547568,-2.3260003864,R0_K1,2024,
118145.352217,116964.925445,-0.999130943354,-1.00254476816,16,12.5,-0.0894907819725,0.757286280016,6.89853479405,-2.80971368009,R0_K1,2025,
116964.925445,115050.721977,-1.63656195271,-2.49022495827,10,10,-0.267370979404,0.178409920537,4.6578925991,-2.65482952441,R0_K1,2026 partial,
100000,100763.168402,0.763168401665,0.76579918172,16,31.25,0.0985001646357,1.14729638921,8.07107970669,-4.15048263309,R0_K2,2016,
100763.168402,103773.370386,2.98740306796,3.02309969481,28,17.8571428571,0.081677047687,1.24655512971,9.43683938029,-2.350347096,R0_K2,2017,
103773.370386,104816.617497,1.0053129308,1.00878259669,25,24,0.0979445043267,1.27246963072,9.83462293127,-4.59035848325,R0_K2,2018,
104816.617497,109404.731346,4.37727715149,4.39263443462,27,37.037037037,0.251544344603,2.05697382544,14.9172654564,-2.38884666072,R0_K2,2019,
109404.731346,109162.743469,-0.221185933981,-0.221337263412,23,26.0869565217,-0.0317092828768,0.927483880509,8.67898045986,-4.90879000101,R0_K2,2020,
109162.743469,124417.885008,13.9746776731,14.0258862356,36,36.1111111111,0.532442828742,2.99741476663,16.8648877423,-3.045479806,R0_K2,2021,
124417.885008,116874.774971,-6.06272163892,-6.13186296191,37,13.5135135135,-0.302445177376,0.374829204615,10.032774627,-8.29613136235,R0_K2,2022,
116874.774971,121036.638835,3.56095989556,3.60362906048,30,33.3333333333,0.218065324436,1.66998038211,14.8370964365,-3.16512134088,R0_K2,2023,
121036.638835,125125.139851,3.37790362928,3.38025593211,26,23.0769230769,0.118464732342,1.61050757842,10.2623847764,-1.88136304898,R0_K2,2024,
125125.139851,124117.243604,-0.805510585799,-0.808265553046,17,11.7647058824,-0.0710932545592,0.80768315044,7.69836344747,-2.62908190179,R0_K2,2025,
124117.243604,122085.104318,-1.63727394133,-2.49130360441,10,10,-0.267370979404,0.177675300707,4.69530917157,-2.66336905905,R0_K2,2026 partial,
100000,97494.0034933,-2.50599650671,-2.5144931515,13,23.0769230769,-0.277781700866,0.480677015643,6.04469204,-3.96656971497,R1_K1,2016,False
97494.0034933,100818.61251,3.41006512934,3.45089623938,26,19.2307692308,0.107244864644,1.30996210886,8.40812864064,-2.33938218657,R1_K1,2017,True
100818.61251,103011.030006,2.17461581945,2.18216448783,25,28,0.158014938038,1.45230938871,10.9169540521,-4.58666047311,R1_K1,2018,True
103011.030006,108445.026617,5.27515996171,5.29374646668,24,41.6666666667,0.327991714963,2.547576927,14.3997525462,-2.3550999792,R1_K1,2019,True
108445.026617,106433.211198,-1.85514770227,-1.85640648353,22,22.7272727273,-0.139146532576,0.712190004182,7.85434609187,-4.83068973889,R1_K1,2020,False
106433.211198,117493.303061,10.3915796007,10.4290643874,28,35.7142857143,0.536933380751,2.95674285204,14.9335608854,-3.14037911319,R1_K1,2021,False
117493.303061,110005.97985,-6.372553172,-6.4451052755,30,13.3333333333,-0.362336275691,0.257260460671,7.11692708037,-8.07215277112,R1_K1,2022,False
110005.97985,114296.081079,3.89988001995,3.94668712905,25,28,0.214800267469,1.72138961644,12.0709678855,-2.8538049224,R1_K1,2023,True
114296.081079,119040.597864,4.15107564532,4.15397709997,22,27.2727272727,0.24939809254,1.89176068869,9.30966077867,-1.85779912313,R1_K1,2024,True
119040.597864,118836.92675,-0.171093826704,-0.171680869545,16,18.75,-0.0110787953329,1.02015992828,7.59341022875,-2.45501753846,R1_K1,2025,True
118836.92675,116861.214089,-1.66254102581,-2.52957997779,10,10,-0.267370979404,0.174371563818,4.68350462569,-2.67536432251,R1_K1,2026 partial,False
100000,98683.5212942,-1.31647870577,-1.32096958863,15,26.6666666667,-0.0853921130908,0.741047785097,7.19724556517,-4.14307317569,R1_K2,2016,False
98683.5212942,103447.634365,4.82766829623,4.88587023147,29,20.6896551724,0.164637841799,1.48315826962,9.63858133519,-2.36445115092,R1_K2,2017,True
103447.634365,105205.31826,1.69910496814,1.70498926848,26,26.9230769231,0.139057875564,1.37608541011,11.3120395773,-4.83894825652,R1_K2,2018,True
105205.31826,109795.20354,4.36278826574,4.37809365745,27,37.037037037,0.251554611683,2.05436788803,14.7991861906,-2.38024534261,R1_K2,2019,False
109795.20354,109644.543258,-0.137219365736,-0.137313287046,23,26.0869565217,-0.0317092828768,0.938673337322,8.7175437884,-4.92345137465,R1_K2,2020,True
109644.543258,125029.304174,14.0314879869,14.082917301,35,37.1428571429,0.556184753755,3.03400092273,16.8919364217,-3.12311466777,R1_K2,2021,True
125029.304174,114479.856925,-8.43757974911,-8.53255103596,37,10.8108108108,-0.409741374331,0.195557077027,8.71925162924,-10.6207748052,R1_K2,2022,False
114479.856925,118724.386109,3.70766464856,3.75212334154,30,33.3333333333,0.218065324436,1.70282674351,14.7707766873,-3.1455099056,R1_K2,2023,True
118724.386109,122718.172264,3.36391392311,3.36625632605,26,23.0769230769,0.118464732342,1.6157483395,10.2852054485,-1.85858729694,R1_K2,2024,False
122718.172264,121983.678992,-0.598520380733,-0.600569554883,18,16.6666666667,-0.0411668952388,0.877890978329,8.9331523323,-2.42897916714,R1_K2,2025,True
121983.678992,119987.053098,-1.6367975703,-2.49058191387,10,10,-0.267370979404,0.179945421199,4.70388759797,-2.66754096018,R1_K2,2026 partial,True
100000,99728.3027368,-0.271697263198,-0.272629016508,12,33.3333333333,0.0127799201772,0.932732981999,6.48357080396,-3.14482641224,R2_K1,2016,True
99728.3027368,103064.530237,3.34531663437,3.38535984478,26,19.2307692308,0.105166062069,1.30338359995,8.52183925018,-2.35808481275,R2_K1,2017,True
103064.530237,105478.005128,2.34171240556,2.34984775274,25,28,0.177733870228,1.48802975404,10.4937611562,-4.23951564816,R2_K1,2018,True
105478.005128,110656.447911,4.90950011493,4.9267683315,23,39.1304347826,0.327759769714,2.44581757295,13.3491483538,-1.8711624143,R2_K1,2019,True
110656.447911,108587.446267,-1.8697524483,-1.87102104463,22,22.7272727273,-0.139146532576,0.708065648836,7.80412941914,-4.82767041759,R2_K1,2020,False
108587.446267,119827.316696,10.3509851417,10.3883167184,28,35.7142857143,0.536933380751,2.95642436105,14.8941514302,-3.10884683918,R2_K1,2021,False
119827.316696,112057.406722,-6.48425600125,-6.55803479456,30,10,-0.413553306461,0.2293893746,7.71194104302,-8.72887739085,R2_K1,2022,False
112057.406722,115997.237093,3.51590357738,3.55802363505,26,30.7692307692,0.228146480297,1.75888086592,12.9433035779,-3.01699229485,R2_K1,2023,False
115997.237093,120979.214355,4.29491028151,4.29791433078,22,27.2727272727,0.24939809254,1.9150411934,9.30805976683,-1.88718685078,R2_K1,2024,True
120979.214355,120709.453436,-0.222981213027,-0.223746087928,16,18.75,-0.0110787953329,1.00401061796,7.548679886,-2.46750592584,R2_K1,2025,True
120709.453436,118712.827542,-1.65407583008,-2.51675687696,10,10,-0.267370979404,0.179945421199,4.75353432935,-2.69540173067,R2_K1,2026 partial,False
100000,98683.5212942,-1.31647870577,-1.32096958863,15,26.6666666667,-0.0853921130908,0.741047785097,7.19724556517,-4.14307317569,R2_K2,2016,False
98683.5212942,103447.634365,4.82766829623,4.88587023147,29,20.6896551724,0.164637841799,1.48315826962,9.63858133519,-2.36445115092,R2_K2,2017,True
103447.634365,104516.033356,1.03279209504,1.03635708625,27,25.9259259259,0.101450686287,1.28008331612,11.2566131329,-5.25694836746,R2_K2,2018,True
104516.033356,109101.014324,4.38686852306,4.40226016116,27,37.037037037,0.251554611683,2.06483995259,14.7883657508,-2.37246962386,R2_K2,2019,True
109101.014324,108861.625503,-0.219419427618,-0.219569549784,23,26.0869565217,-0.0317092828768,0.927771239968,8.7027891924,-4.9224355296,R2_K2,2020,True
108861.625503,124327.473041,14.2068864634,14.2589979503,35,37.1428571429,0.556184753755,3.08245524491,16.8599249815,-3.05363126106,R2_K2,2021,True
124327.473041,113802.930951,-8.46517815598,-8.56044534241,37,10.8108108108,-0.409741374331,0.195907733098,8.76520136687,-10.6600119649,R2_K2,2022,False
113802.930951,118068.550081,3.74825067736,3.79320488209,30,33.3333333333,0.218065324436,1.70994332217,14.8290145726,-3.14863994153,R2_K2,2023,True
118068.550081,122077.831599,3.39572351448,3.39808842951,26,23.0769230769,0.118464732342,1.61944052691,10.2956107236,-1.86521148987,R2_K2,2024,True
122077.831599,121388.016024,-0.565062113888,-0.566997062858,18,16.6666666667,-0.0411668952388,0.888622206766,8.94232208776,-2.40877151683,R2_K2,2025,True
121388.016024,119391.39013,-1.64482949743,-2.5027498416,10,10,-0.267370979404,0.179945421199,4.72696626379,-2.68049301248,R2_K2,2026 partial,False
100000,99125.429903,-0.874570096979,-0.877560211683,15,26.6666666667,-0.0530775645685,0.810259052307,7.08148449415,-3.68325326758,R3_K1,2016,False
99125.429903,104461.07547,5.38272123752,5.44778701444,26,23.0769230769,0.220543749698,1.63640277051,9.00493834333,-2.36373239424,R3_K1,2017,True
104461.07547,105884.530707,1.36266569199,1.36737702433,24,25,0.133897833793,1.34629245401,8.78687756085,-4.55461798247,R3_K1,2018,True
105884.530707,111287.122693,5.10234304263,5.12030595615,24,41.6666666667,0.321832185967,2.46288219326,14.0793641894,-2.36156387648,R3_K1,2019,True
111287.122693,110839.575379,-0.402155526003,-0.402430420003,22,22.7272727273,-0.0316490115594,0.905080735761,7.88094691239,-4.88153673265,R3_K1,2020,True
110839.575379,125144.789587,12.9062333185,12.9533083932,30,40,0.600755682206,3.66460923751,16.3174819557,-3.1030323281,R3_K1,2021,True
125144.789587,116237.860246,-7.11729938611,-7.19800003089,32,12.5,-0.414677591499,0.219345986578,7.30687476699,-9.43700240284,R3_K1,2022,False
116237.860246,120334.781283,3.52460121748,3.56682725624,27,29.6296296296,0.232197405906,1.74365600751,12.3774969314,-2.95940704674,R3_K1,2023,False
120334.781283,125120.024676,3.97660870924,3.97938590255,23,26.0869565217,0.217656932216,1.80245661367,9.94153677147,-1.88514924571,R3_K1,2024,True
125120.024676,124447.121739,-0.53780594961,-0.539647818455,16,12.5,-0.0522010872309,0.886435982196,7.09962475304,-2.76574923805,R3_K1,2025,True
124447.121739,122414.982453,-1.63293393839,-2.48472853712,10,10,-0.267370979404,0.177675300707,4.68286546365,-2.65638258923,R3_K1,2026 partial,True
100000,98813.7722417,-1.18622775832,-1.19027700258,15,26.6666666667,-0.0742284326057,0.760532979071,7.01490058912,-4.01655300925,R3_K2,2016,False
98813.7722417,103572.176212,4.81552708976,4.8735792764,29,20.6896551724,0.164637841799,1.48197528631,9.63067536359,-2.36752960268,R3_K2,2017,True
103572.176212,103612.450817,0.0388855440552,0.0390191056261,27,22.2222222222,0.0450484128048,1.15400027838,9.88999393333,-5.26912202136,R3_K2,2018,False
103612.450817,107969.108063,4.20476227753,4.21950215512,28,35.7142857143,0.230907946025,1.97244992846,15.0085201393,-2.35645974279,R3_K2,2019,False
107969.108063,107670.648899,-0.276430147347,-0.276619220953,23,26.0869565217,-0.0317092828768,0.920321505637,8.68914121109,-4.94572947803,R3_K2,2020,False
107670.648899,122719.67733,13.9769088277,14.0281260581,35,37.1428571429,0.556184753755,3.04183024384,16.842793734,-3.07332235312,R3_K2,2021,True
122719.67733,112318.002218,-8.47596354411,-8.57134634046,37,10.8108108108,-0.409741374331,0.197954841074,8.7806095864,-10.6772003711,R3_K2,2022,False
112318.002218,116700.788396,3.90212262673,3.94895716019,30,33.3333333333,0.218065324436,1.73950961815,14.8862277225,-3.16935912141,R3_K2,2023,True
116700.788396,120567.922771,3.31371743735,3.31602432917,26,23.0769230769,0.118464732342,1.59953298998,10.2106741867,-1.87963369127,R3_K2,2024,False
120567.922771,119907.466645,-0.547787596318,-0.549663555593,18,16.6666666667,-0.0411668952388,0.894125792125,9.03006711141,-2.42331363664,R3_K2,2025,True
119907.466645,117931.15445,-1.64819777242,-2.5078524367,10,10,-0.267370979404,0.181722152899,4.76187960947,-2.70261296564,R3_K2,2026 partial,False
100000,99125.429903,-0.874570096979,-0.877560211683,15,26.6666666667,-0.0530775645685,0.810259052307,7.08148449415,-3.68325326758,R4_K1,2016,False
99125.429903,104461.07547,5.38272123752,5.44778701444,26,23.0769230769,0.220543749698,1.63640277051,9.00493834333,-2.36373239424,R4_K1,2017,True
104461.07547,105329.813831,0.831638346978,0.834506131276,25,24,0.0998232006275,1.25468297963,9.4766368588,-4.91359173021,R4_K1,2018,True
105329.813831,110033.447098,4.46562382962,4.48129767319,25,40,0.282539796439,2.18697152226,12.8702401639,-2.38432041328,R4_K1,2019,True
110033.447098,109655.598636,-0.343394187739,-0.343628984664,23,26.0869565217,-0.0290986456144,0.914049066099,8.5116913447,-4.87573854681,R4_K1,2020,True
109655.598636,123902.154439,12.9920915857,13.0394975365,29,41.3793103448,0.631777516247,3.82473091767,16.1340523781,-3.12073304727,R4_K1,2021,True
123902.154439,115318.036513,-6.92814258589,-7.00678030742,30,13.3333333333,-0.392117890343,0.241585530022,7.17340421683,-8.61976935873,R4_K1,2022,False
115318.036513,118202.797677,2.50156979004,2.53139007087,26,26.9230769231,0.147157905368,1.43091475376,11.993340612,-2.9791859818,R4_K1,2023,False
118202.797677,122673.632629,3.78234275339,3.78498181993,24,25,0.195436604968,1.73815607551,10.0913863176,-1.86312451295,R4_K1,2024,True
122673.632629,121961.951368,-0.580141996375,-0.582128432261,16,12.5,-0.0522010872309,0.872917781982,7.16877384882,-2.78013059691,R4_K1,2025,True
121961.951368,119965.325474,-1.63708916716,-2.49102367626,10,10,-0.267370979404,0.179945421199,4.70472546292,-2.66801120412,R4_K1,2026 partial,False
100000,100882.90422,0.882904220473,0.885949563138,16,31.25,0.10896611509,1.17443737851,7.90506916221,-4.0365856544,R4_K2,2016,True
100882.90422,105718.272271,4.79305001003,4.85082501052,29,20.6896551724,0.164637841799,1.4800183071,9.58988319364,-2.34935121204,R4_K2,2017,True
105718.272271,105968.168564,0.236379471075,0.2371921757,26,23.0769230769,0.0666530315227,1.18301882555,9.58372722571,-5.28848607276,R4_K2,2018,False
105968.168564,110351.952235,4.13688726533,4.15138449788,28,35.7142857143,0.230907946025,1.95502035454,14.9768005472,-2.36900732914,R4_K2,2019,False
110351.952235,109945.428575,-0.368388281158,-0.368640136249,23,26.0869565217,-0.0317092828768,0.911123912849,8.70547869594,-4.90418544025,R4_K2,2020,False
