Calibration Year,Cohort Level,Observations,T1 Successes,P(T1 Before Stop),T2 Successes,P(T2 Before Stop),Cohort
2022,2,112,46,0.41228070175438597,38,0.34210526315789475,PULLBACK|BULL
2022,2,190,54,0.2864583333333333,43,0.22916666666666666,PULLBACK|NEUTRAL
2022,2,266,125,0.4701492537313433,108,0.40671641791044777,PULLBACK|STRONG BULL
2022,3,12,6,0.5,5,0.42857142857142855,BREAKOUT
2022,3,568,225,0.39649122807017545,189,0.3333333333333333,PULLBACK
2022,4,580,231,0.39862542955326463,194,0.33505154639175255,OVERALL
2023,1,2,2,0.75,2,0.75,BREAKOUT|BULL|80-89|80-89
2023,1,1,0,0.3333333333333333,0,0.3333333333333333,BREAKOUT|NEUTRAL|70-79|70-79
2023,1,1,0,0.3333333333333333,0,0.3333333333333333,BREAKOUT|STRONG BULL|70-79|80-89
2023,1,2,1,0.5,1,0.5,BREAKOUT|STRONG BULL|70-79|90-100
2023,1,6,3,0.5,2,0.375,BREAKOUT|STRONG BULL|80-89|80-89
2023,1,18,6,0.35,6,0.35,PULLBACK|BULL|70-79|70-79
2023,1,63,27,0.4307692307692308,23,0.36923076923076925,PULLBACK|BULL|70-79|80-89
2023,1,25,11,0.4444444444444444,5,0.2222222222222222,PULLBACK|BULL|70-79|90-100
2023,1,2,1,0.5,0,0.25,PULLBACK|BULL|80-89|70-79
2023,1,7,3,0.4444444444444444,2,0.3333333333333333,PULLBACK|BULL|80-89|80-89
2023,1,11,3,0.3076923076923077,2,0.23076923076923078,PULLBACK|BULL|80-89|90-100
2023,1,32,4,0.14705882352941177,4,0.14705882352941177,PULLBACK|NEUTRAL|70-79|70-79
2023,1,112,35,0.3157894736842105,30,0.2719298245614035,PULLBACK|NEUTRAL|70-79|80-89
2023,1,25,7,0.2962962962962963,7,0.2962962962962963,PULLBACK|NEUTRAL|70-79|90-100
2023,1,36,10,0.2894736842105263,3,0.10526315789473684,PULLBACK|NEUTRAL|80-89|80-89
2023,1,9,0,0.09090909090909091,0,0.09090909090909091,PULLBACK|NEUTRAL|80-89|90-100
2023,1,12,5,0.42857142857142855,3,0.2857142857142857,PULLBACK|STRONG BULL|70-79|70-79
2023,1,162,74,0.4573170731707317,65,0.4024390243902439,PULLBACK|STRONG BULL|70-79|80-89
2023,1,91,42,0.46236559139784944,37,0.40860215053763443,PULLBACK|STRONG BULL|70-79|90-100
2023,1,2,1,0.5,1,0.5,PULLBACK|STRONG BULL|80-89|70-79
2023,1,25,12,0.48148148148148145,10,0.4074074074074074,PULLBACK|STRONG BULL|80-89|80-89
2023,1,14,6,0.4375,2,0.1875,PULLBACK|STRONG BULL|80-89|90-100
2023,2,2,2,0.75,2,0.75,BREAKOUT|BULL
2023,2,1,0,0.3333333333333333,0,0.3333333333333333,BREAKOUT|NEUTRAL
2023,2,9,4,0.45454545454545453,3,0.36363636363636365,BREAKOUT|STRONG BULL
2023,2,126,51,0.40625,38,0.3046875,PULLBACK|BULL
2023,2,214,56,0.2638888888888889,44,0.20833333333333334,PULLBACK|NEUTRAL
2023,2,306,140,0.4577922077922078,118,0.38636363636363635,PULLBACK|STRONG BULL
2023,3,12,6,0.5,5,0.42857142857142855,BREAKOUT
2023,3,646,247,0.38271604938271603,200,0.3101851851851852,PULLBACK
2023,4,658,253,0.38484848484848483,205,0.31212121212121213,OVERALL
2024,1,2,0,0.25,0,0.25,BREAKOUT|BULL|70-79|80-89
2024,1,2,2,0.75,2,0.75,BREAKOUT|BULL|80-89|80-89
2024,1,1,0,0.3333333333333333,0,0.3333333333333333,BREAKOUT|NEUTRAL|70-79|70-79
2024,1,1,0,0.3333333333333333,0,0.3333333333333333,BREAKOUT|STRONG BULL|70-79|80-89
2024,1,2,1,0.5,1,0.5,BREAKOUT|STRONG BULL|70-79|90-100
2024,1,7,4,0.5555555555555556,3,0.4444444444444444,BREAKOUT|STRONG BULL|80-89|80-89
2024,1,18,6,0.35,6,0.35,PULLBACK|BULL|70-79|70-79
2024,1,65,27,0.417910447761194,23,0.3582089552238806,PULLBACK|BULL|70-79|80-89
2024,1,27,12,0.4482758620689655,6,0.2413793103448276,PULLBACK|BULL|70-79|90-100
2024,1,2,1,0.5,0,0.25,PULLBACK|BULL|80-89|70-79
2024,1,8,4,0.5,3,0.4,PULLBACK|BULL|80-89|80-89
2024,1,11,3,0.3076923076923077,2,0.23076923076923078,PULLBACK|BULL|80-89|90-100
2024,1,34,4,0.1388888888888889,4,0.1388888888888889,PULLBACK|NEUTRAL|70-79|70-79
2024,1,127,38,0.3023255813953488,30,0.24031007751937986,PULLBACK|NEUTRAL|70-79|80-89
2024,1,29,8,0.2903225806451613,8,0.2903225806451613,PULLBACK|NEUTRAL|70-79|90-100
2024,1,39,12,0.3170731707317073,3,0.0975609756097561,PULLBACK|NEUTRAL|80-89|80-89
2024,1,9,0,0.09090909090909091,0,0.09090909090909091,PULLBACK|NEUTRAL|80-89|90-100
2024,1,12,5,0.42857142857142855,3,0.2857142857142857,PULLBACK|STRONG BULL|70-79|70-79
2024,1,186,83,0.44680851063829785,74,0.39893617021276595,PULLBACK|STRONG BULL|70-79|80-89
2024,1,98,46,0.47,39,0.4,PULLBACK|STRONG BULL|70-79|90-100
2024,1,2,1,0.5,1,0.5,PULLBACK|STRONG BULL|80-89|70-79
2024,1,29,14,0.4838709677419355,12,0.41935483870967744,PULLBACK|STRONG BULL|80-89|80-89
2024,1,16,8,0.5,4,0.2777777777777778,PULLBACK|STRONG BULL|80-89|90-100
2024,2,4,2,0.5,2,0.5,BREAKOUT|BULL
