Policy,Breakdown,Value,Trades,Win Rate %,Average Winner,Average Loser,Expectancy R,Median R,Profit Factor,Average Holding Days
D3_PARTIAL_T1_TRAIL,Ticker,ITC.NS,9,11.11111111111111,2089.635643255833,-288.177754030875,-0.0622427938759967,-0.22147008119434056,0.9064004828734769,4.111111111111111
D3_PARTIAL_T1_TRAIL,Ticker,LT.NS,19,31.57894736842105,1358.0415686107167,-400.07391784800194,0.24575855896154553,-0.3003973550735287,1.5666815263873357,7.0
D3_PARTIAL_T1_TRAIL,Ticker,M&M.NS,13,46.15384615384615,1105.5365491302593,-383.6245040005601,0.419460118826712,-0.13459854368422264,2.470130939279055,6.230769230769231
D3_PARTIAL_T1_TRAIL,Ticker,MARUTI.NS,17,17.647058823529413,1334.7475677173593,-218.31281253178935,0.07682583936754792,-0.24256189402207984,1.3101262020422466,6.352941176470588
D3_PARTIAL_T1_TRAIL,Ticker,SBIN.NS,25,12.0,1785.247100632743,-347.2838048145824,-0.1313614980177415,-0.3886735115944662,0.7009908987258865,4.64
D3_PARTIAL_T1_TRAIL,Ticker,SUNPHARMA.NS,10,20.0,333.94523090857916,-216.7488412512762,-0.14870230209218419,-0.2854027713276116,0.38517533586423836,7.0
D3_PARTIAL_T1_TRAIL,Ticker,TCS.NS,15,33.33333333333333,462.0402806838107,-339.3657713974568,-0.08293844681186542,-0.2821751483373662,0.680740840157802,5.266666666666667
D3_PARTIAL_T1_TRAIL,Ticker,TITAN.NS,19,26.31578947368421,1138.2634571988276,-362.104964152249,0.09069118776256446,-0.3651058116553233,1.1226652587794155,6.105263157894737
D3_PARTIAL_T1_TRAIL,Ticker,TMPV.NS,3,0.0,,-854.5416809579347,-1.0707402499546317,-1.0326161226313493,0.0,3.0
D3_PARTIAL_T1_TRAIL,Ticker,WIPRO.NS,9,33.33333333333333,840.0779562964175,-421.2772915430566,0.0017649065109766173,-0.4325135386912039,0.9970605740691312,6.222222222222222
D4_TREND_PROTECT,Ticker,AXISBANK.NS,23,30.434782608695656,1527.2984274971864,-534.3776259658059,0.10819958309044436,-0.32627481557238736,1.2504136205597347,7.0
D4_TREND_PROTECT,Ticker,BEL.NS,9,22.22222222222222,1761.8149930019667,-490.4104106571612,0.021226258390872815,-0.3977113366716376,1.0264376557825132,4.333333333333333
D4_TREND_PROTECT,Ticker,CIPLA.NS,10,40.0,1828.0207271557297,-212.81729943956682,0.7859874239202136,-0.1920823772237069,5.726416451950852,8.6
D4_TREND_PROTECT,Ticker,HAL.NS,10,30.0,1280.1290156463335,-396.88393239146274,0.14114375620784483,-0.26609165655113526,1.3823354291152128,5.3
