Friction Multiplier,Policy,Starting Equity,Ending Equity,Total Return %,CAGR %,Annualized Volatility %,Sharpe RF 6%,Sharpe RF 0%,Sortino,Max Drawdown %,Trades,Win Rate %,Average Winner,Average Loser,Expectancy R,Median R,Profit Factor,Average Holding Days,Median Holding Days,Maximum Holding Days,Average Exposure %,Median Exposure %,Days Fully Cash,Average Open Positions,Capacity Rejects,Total Slippage,Total Transaction Costs
1.5,D2_BREAK_EVEN_TRAIL,100000.0,111961.00264625017,11.961002646250174,1.0659210410056907,4.00783928800979,-1.2075332059422088,0.2895328111384,-1.157886937337665,-12.559037149621632,285,24.210526315789473,1327.3187787432553,-368.62959762516,0.04406307620694728,-0.3258894129647504,1.150218573353585,6.347368421052631,3.0,34,10.911200219919033,0.0,1581,0.5781487101669196,1,6020.603810724436,9354.132864767485
1.5,D3_PARTIAL_T1_TRAIL,100000.0,109851.52630264185,9.851526302641854,0.885674787450097,3.7434840986927105,-1.3441142195182307,0.2586707374407967,-1.2524723584101296,-11.720629029147144,285,25.263157894736842,1214.9134528152886,-364.4236727702294,0.0377245758639832,-0.3258894129647503,1.126916280833006,6.389473684210526,3.0,34,9.931881043125408,0.0,1576,0.582701062215478,1,5864.2901059180585,9104.654121039053
1.5,D4_TREND_PROTECT,100000.0,107590.31095621524,7.590310956215229,0.688946152619585,3.601964258871478,-1.4535771287603796,0.2121806547107544,-1.3637186097945606,-11.157974458363473,285,24.912280701754387,1136.678849450393,-341.65367922786214,0.024356335239780577,-0.315646980800885,1.103814900709434,6.196491228070175,3.0,34,9.437979947760908,0.0,1609,0.5618361153262519,0,5819.054695653055,9022.89063934206
1.5,D5_RESISTANCE_TIGHTEN,100000.0,109175.44075035806,9.175440750358055,0.827242009235829,3.6991272118695364,-1.3766330671430738,0.24537116692261668,-1.2502238486514643,-11.982457320877671,287,25.087108013937282,1201.979095658735,-359.846763428236,0.03554034816737655,-0.3258894129647503,1.1185962274601036,5.937282229965157,3.0,30,9.475152922689476,0.0,1630,0.537556904400607,1,5836.9234694477955,9073.285156792253
1.5,D6_HYBRID_DYNAMIC,100000.0,106759.74893250394,6.759748932503928,0.6157443287085007,3.5478053621057564,-1.4971948993113333,0.19399145044906443,-1.3724602160685269,-11.580038139082072,287,24.738675958188153,1123.8366514854647,-338.1141357544624,0.022174083654637692,-0.315646980800885,1.0925578987608635,5.7456445993031355,3.0,30,8.98942373796887,0.0,1663,0.5166919575113809,0,5794.893180877806,8995.020377754638
2.0,D1_TRAIL_ONLY,100000.0,110206.8208239009,10.206820823900898,0.9162517075872456,4.023216039234228,-1.2402884725681833,0.2510557509306943,-1.1927173927662837,-13.186832617970111,285,23.50877192982456,1389.3702318904157,-380.1880032695267,0.0334030480396884,-0.34562397948086365,1.1231503324830794,6.392982456140351,3.0,34,10.982725135295105,0.0,1573,0.5830804248861912,1,7894.212611072253,12342.493987509797
2.0,D2_BREAK_EVEN_TRAIL,100000.0,108425.62241998495,8.425622419984947,0.7620519162160111,4.0188192699313525,-1.2804509984002654,0.21252482285444083,-1.2232359746224108,-13.206469220400319,285,23.157894736842106,1378.2827557758824,-376.899723567229,0.026164213054144386,-0.34562397948086365,1.1020779781183074,6.3578947368421055,3.0,34,10.906554724700827,0.0,1580,0.5792867981790591,1,7872.5765634935815,12310.082347672309
2.0,D3_PARTIAL_T1_TRAIL,100000.0,105354.19452413668,5.3541945241366795,0.49068154682823106,3.7548396861125473,-1.4463647942651867,0.15157293452554813,-1.3410582159050723,-12.451490283453449,285,24.561403508771928,1215.5838553074805,-370.8682574297062,0.015465326423441046,-0.34562397948086365,1.0671484545952075,6.424561403508772,3.0,34,9.947838051970848,0.0,1574,0.58649468892261,1,7621.305186294038,11891.055541907284
2.0,D4_TREND_PROTECT,100000.0,103412.16173604656,3.4121617360465706,0.3153731732186138,3.6224550720535187,-1.5496786687998367,0.10665657364077796,-1.4479606894930193,-11.953281553306649,285,23.859649122807017,1162.3624751699342,-348.5183713157091,0.002742334565153171,-0.33917484406821863,1.045117413960676,6.231578947368421,3.0,34,9.504038638196164,0.0,1607,0.5656297420333839,0,7597.988823167807,11847.39150350932
2.0,D5_RESISTANCE_TIGHTEN,100000.0,104856.71282538654,4.856712825386533,0.44605437123566016,3.719487883026696,-1.4726320471471486,0.14049325092952106,-1.3318292455627019,-12.760001401710252,287,24.390243902439025,1206.6587963652194,-366.86360792709144,0.013342095322286087,-0.34562397948086365,1.0610067736628568,5.97212543554007,3.0,30,9.50695174288414,0.0,1628,0.541350531107739,1,7584.605470363615,11860.983301960281
