Policy,Year,Start Equity,End Equity,Return %
D4_TREND_PROTECT,2017,100542.86783096593,101018.26463093435,0.4728299582300144
D4_TREND_PROTECT,2018,101049.07395710623,101883.56409240069,0.8258266034666395
D4_TREND_PROTECT,2019,101883.56409240069,106273.42002909936,4.308698832637425
D4_TREND_PROTECT,2020,106343.06718486108,106796.70476024774,0.42657935998600127
D4_TREND_PROTECT,2021,106796.70476024774,118193.80833233279,10.671774562399538
D4_TREND_PROTECT,2022,118193.80833233279,109859.99209338994,-7.05097530617691
D4_TREND_PROTECT,2023,110094.68935901494,114396.59722088909,3.9074617376372967
D4_TREND_PROTECT,2024,114545.90264081096,116272.33302652287,1.5071952343206796
D4_TREND_PROTECT,2025,116272.33302652287,114023.0782507495,-1.9344711826331795
D4_TREND_PROTECT,2026,114457.09802614013,112864.0502778603,-1.3918295813475923
D5_RESISTANCE_TIGHTEN,2016,100000.0,100363.80185027048,0.3638018502704732
D5_RESISTANCE_TIGHTEN,2017,100363.80185027048,102141.93130408658,1.7716840345175733
D5_RESISTANCE_TIGHTEN,2018,102172.19959975034,101924.63061807124,-0.24230561997189426
D5_RESISTANCE_TIGHTEN,2019,101924.63061807124,106341.34966599509,4.333318670022002
D5_RESISTANCE_TIGHTEN,2020,106410.99682175681,105740.54784063499,-0.6300561042998698
D5_RESISTANCE_TIGHTEN,2021,105740.54784063499,117648.3169616036,11.261308328868513
D5_RESISTANCE_TIGHTEN,2022,117648.3169616036,108344.23234396901,-7.908387351321933
D5_RESISTANCE_TIGHTEN,2023,108571.10636740651,113001.87121030173,4.080979729451628
D5_RESISTANCE_TIGHTEN,2024,113151.1766302236,115192.67498611337,1.8042219415546512
D5_RESISTANCE_TIGHTEN,2025,115192.67498611337,115382.07042711608,0.16441621919582872
D5_RESISTANCE_TIGHTEN,2026,115830.18517320983,114128.78865780316,-1.468871445610176
D6_HYBRID_DYNAMIC,2016,100000.0,100363.80185027048,0.3638018502704732
D6_HYBRID_DYNAMIC,2017,100363.80185027048,100424.28104535904,0.060259968209241954
D6_HYBRID_DYNAMIC,2018,100451.79767778063,100814.81668950658,0.3613862769190179
D6_HYBRID_DYNAMIC,2019,100814.81668950658,105493.65281728924,4.641020319654721
D6_HYBRID_DYNAMIC,2020,105560.27183584393,106160.06050037542,0.5681954527970712
D6_HYBRID_DYNAMIC,2021,106160.06050037542,116482.08441989684,9.723076523194818
D6_HYBRID_DYNAMIC,2022,116482.08441989684,107877.39581806195,-7.387134806771267
D6_HYBRID_DYNAMIC,2023,108104.26984149945,112603.0499171526,4.161519320420171
D6_HYBRID_DYNAMIC,2024,112749.62352555104,115419.38941765155,2.367871225304352
D6_HYBRID_DYNAMIC,2025,115419.38941765155,113571.0362982463,-1.6014234079136158
D6_HYBRID_DYNAMIC,2026,114005.05607363692,112424.67855400709,-1.3862345882353244
T1_10D,2016,100000.0,101587.50345893168,1.5875034589316828
T1_10D,2017,101587.50345893168,102020.22618145533,0.4259605835264857
T1_10D,2018,101766.7780165131,100528.12837031062,-1.2171453890399198
T1_10D,2019,100528.12837031062,103952.15080096111,3.4060341977496966
T1_10D,2020,104018.7698195158,106806.28725479645,2.6798215746228315
T1_10D,2021,106806.28725479645,116007.15815974755,8.61454053074755
T1_10D,2022,116007.15815974755,108920.13850259331,-6.10912272102645
T1_10D,2023,109156.12354898003,114649.2523197436,5.032359699269384
T1_10D,2024,114728.47485392328,114832.2575137976,0.0904593737574233
T1_10D,2025,114990.80615881713,113301.89807162448,-1.4687331479875332
T1_10D,2026,113735.91784701511,111851.72334523531,-1.6566398174358676
T1_20D,2016,100000.0,100097.23444631134,0.09723444631133393
T1_20D,2017,100097.23444631134,102856.04966336154,2.756135304147622
T1_20D,2018,102637.4918287363,101712.72606789763,-0.9010019091091559
T1_20D,2019,101712.72606789763,102507.23277927902,0.7811281263379266
T1_20D,2020,102573.8517978337,106040.91538404321,3.3800657043111304
T1_20D,2021,105883.68271802759,111376.20997433274,5.187321705585157
T1_20D,2022,111376.20997433274,100551.05288889713,-9.719451836195836
T1_20D,2023,100770.87082102604,104718.52175237579,3.917452433611457
T1_20D,2024,104851.84475042266,104959.60254243572,0.10277147938555498
T1_20D,2025,105063.23376802166,103638.85298278437,-1.3557366684356031
T1_20D,2026,104348.30443173443,102264.14012945401,-1.9973149670523882
T1_30D,2016,100000.0,100549.48109622946,0.5494810962294538
T1_30D,2017,100549.48109622946,105271.83688213766,4.6965491362295
T1_30D,2018,105038.35824444235,104733.30219853006,-0.2904234710165321
T1_30D,2019,104733.30219853006,106593.5753436714,1.7762002210290673
T1_30D,2020,106663.22249943312,110594.4997756949,3.6856914540367214
T1_30D,2021,110426.7849319449,116693.039691176,5.67457864782801
T1_30D,2022,116693.039691176,104511.34337375333,-10.439094182190377
T1_30D,2023,104598.99954853293,110095.51174952538,5.254842039327645
T1_30D,2024,110242.08535792382,113464.86555633348,2.923366505582914
