Calibration Year,As Of Date,Calibration Data End Date,Cohort Level,Observations,Eligible,Setup,Market Regime,Technical Band,Actionability Band,T1 Successes,P(T1 Before Stop),T1 Q25,T1 Median,T1 Q75,T2 Successes,P(T2 Before Stop),T2 Q25,T2 Median,T2 Q75,Cohort
2017,2017-01-02,2016-12-26,1,10,False,PULLBACK,STRONG BULL,80-89,80-89,3,0.3333333333333333,4.0,5.0,5.0,2,0.25,3.5,4.0,4.5,PULLBACK|STRONG BULL|80-89|80-89
2017,2017-01-02,2016-12-26,1,5,False,PULLBACK,STRONG BULL,80-89,90-100,2,0.42857142857142855,5.5,7.0,8.5,1,0.2857142857142857,14.0,14.0,14.0,PULLBACK|STRONG BULL|80-89|90-100
2017,2017-01-02,2016-12-26,2,1,False,BREAKOUT,BULL,,,1,0.6666666666666666,18.0,18.0,18.0,1,0.6666666666666666,63.0,63.0,63.0,BREAKOUT|BULL
2017,2017-01-02,2016-12-26,2,2,False,BREAKOUT,STRONG BULL,,,1,0.5,46.0,46.0,46.0,1,0.5,54.0,54.0,54.0,BREAKOUT|STRONG BULL
2017,2017-01-02,2016-12-26,2,67,True,PULLBACK,BULL,,,21,0.3188405797101449,4.0,12.0,20.0,18,0.2753623188405797,5.75,15.5,34.0,PULLBACK|BULL
2017,2017-01-02,2016-12-26,2,108,True,PULLBACK,NEUTRAL,,,28,0.2636363636363636,4.0,7.5,9.0,23,0.21818181818181817,8.5,11.0,16.5,PULLBACK|NEUTRAL
2017,2017-01-02,2016-12-26,2,118,True,PULLBACK,STRONG BULL,,,54,0.4583333333333333,6.25,10.0,17.75,44,0.375,10.75,15.0,20.25,PULLBACK|STRONG BULL
2017,2017-01-02,2016-12-26,3,3,False,BREAKOUT,,,,2,0.6,25.0,32.0,39.0,2,0.6,56.25,58.5,60.75,BREAKOUT
2017,2017-01-02,2016-12-26,3,293,True,PULLBACK,,,,103,0.3525423728813559,6.0,9.0,16.5,85,0.29152542372881357,9.0,14.0,21.0,PULLBACK
2017,2017-01-02,2016-12-26,4,296,True,,,,,105,0.35570469798657717,6.0,9.0,17.0,87,0.2953020134228188,9.0,14.0,21.0,OVERALL
2018,2018-01-01,2017-12-19,1,1,False,BREAKOUT,BULL,80-89,80-89,1,0.6666666666666666,18.0,18.0,18.0,1,0.6666666666666666,63.0,63.0,63.0,BREAKOUT|BULL|80-89|80-89
2018,2018-01-01,2017-12-19,1,1,False,BREAKOUT,STRONG BULL,70-79,90-100,1,0.6666666666666666,30.0,30.0,30.0,1,0.6666666666666666,37.0,37.0,37.0,BREAKOUT|STRONG BULL|70-79|90-100
2018,2018-01-01,2017-12-19,1,2,False,BREAKOUT,STRONG BULL,80-89,80-89,1,0.5,46.0,46.0,46.0,1,0.5,54.0,54.0,54.0,BREAKOUT|STRONG BULL|80-89|80-89
2018,2018-01-01,2017-12-19,1,10,False,PULLBACK,BULL,70-79,70-79,2,0.25,14.0,15.0,16.0,2,0.25,21.75,26.5,31.25,PULLBACK|BULL|70-79|70-79
2018,2018-01-01,2017-12-19,1,35,True,PULLBACK,BULL,70-79,80-89,12,0.35135135135135137,3.0,8.0,15.75,12,0.35135135135135137,3.75,12.5,34.0,PULLBACK|BULL|70-79|80-89
2018,2018-01-01,2017-12-19,1,13,False,PULLBACK,BULL,70-79,90-100,4,0.3333333333333333,10.0,15.5,19.25,3,0.26666666666666666,10.0,12.0,19.0,PULLBACK|BULL|70-79|90-100
2018,2018-01-01,2017-12-19,1,1,False,PULLBACK,BULL,80-89,70-79,1,0.6666666666666666,11.0,11.0,11.0,0,0.3333333333333333,,,,PULLBACK|BULL|80-89|70-79
2018,2018-01-01,2017-12-19,1,5,False,PULLBACK,BULL,80-89,80-89,1,0.2857142857142857,21.0,21.0,21.0,0,0.14285714285714285,,,,PULLBACK|BULL|80-89|80-89
